 	lo	ho	finito	di	fare	</S>
t	0.745273121	0.08280150345	0.046780207814	0.0409948886214	0.0420023756439	0.0421479745864
o	0.623642915667	0.179510315963	0.0519006113607	0.0435864162088	0.0501838028258	0.0511759809403
s	0.412595067822	0.294901044654	0.116538549327	0.0484359627291	0.0546044488866	0.0729249116815
p	0.258725444541	0.326436965551	0.191961878909	0.0613601311764	0.0646905723734	0.0968250541528
ì	0.179368991247	0.343623814517	0.26253337897	0.0621605957721	0.0645104108301	0.0878028465491
c	0.107567095816	0.370308863506	0.366509613657	0.052683906904	0.0451497059592	0.0577807785324
c	0.091107352672	0.369400500235	0.383549639886	0.0604687782147	0.044880855665	0.0505928472263
e	0.090652854624	0.289580723812	0.364243716629	0.123197016585	0.0534597802605	0.0788659112644
t	0.069309178108	0.193398847004	0.41600203221	0.169839016795	0.0558197492818	0.0956311962298
s	0.0663271162027	0.161616729668	0.41500244207	0.189740382732	0.0590783577913	0.108234880977
a	0.0585455429009	0.120037639316	0.28192451749	0.323109224377	0.0939363467951	0.122446548966
a	0.0390709296403	0.0680263869387	0.147013506043	0.487150789659	0.143321079226	0.115417163702
t	0.0280879795241	0.0415231620482	0.119745457828	0.508314666286	0.164916131669	0.137412492167
s	0.0306779606447	0.0271828288514	0.118333748743	0.437805828762	0.205198859156	0.180800763722
è	0.0294978606876	0.0273730818438	0.0791524531143	0.369543720254	0.281757656519	0.212675283641
k	0.0174457817619	0.0256554682813	0.0479414915714	0.340215734418	0.343744615373	0.224996961147
à	0.0111259878706	0.0163810526624	0.0331202126571	0.299539543826	0.401989944458	0.237843293982
m	0.0097360996506	0.0146215034395	0.025783509619	0.223114076495	0.472827641486	0.253917218461
i	0.0102003330279	0.0130672123632	0.0220051540863	0.146061642565	0.501742595162	0.30692312862
</S>	0.0114065151259	0.0124980092116	0.0192305223632	0.100824684083	0.498066173581	0.35797415331
