 	ha	che	sono	usciti	</S>
è	0.669144604	0.1299175405	0.077818204517	0.0557236617815	0.0673959241055
n	0.524534693333	0.2332078735	0.0895240656797	0.0645880570758	0.0881453050885
a	0.308119329778	0.361560618167	0.107175868227	0.126627455025	0.0965167393962
g	0.148639917493	0.436145885722	0.170809773676	0.146683455382	0.0977209060387
u	0.067921669431	0.333536980374	0.275688393092	0.175656629901	0.147196285186
ì	0.037224376077	0.154252397058	0.340048591564	0.271429354634	0.197045273642
k	0.0368726641723	0.143081527086	0.341443604521	0.263244351678	0.215357835681
a	0.0436863028728	0.134373429162	0.263003206574	0.309367598693	0.249569418447
n	0.0311975119529	0.063911887858	0.203774598991	0.382048151564	0.319067795216
e	0.0220785708983	0.0409422433633	0.17221518833	0.322416904521	0.442347079472
</S>	0.0257631736801	0.0401907913916	0.140908470565	0.272680739261	0.520456826736
