 	l	ho	sentito	quando	veniva	</S>
t	0.745247838	0.0765898965	0.040368667912	0.042745473092	0.0516532865618	0.0433948865748
o	0.637249201333	0.146797670833	0.0616119301307	0.0475657408083	0.0586374729216	0.0481380146999
n	0.440732205444	0.238054157611	0.0928167091876	0.0745840951518	0.0715564658331	0.0822564179845
ì	0.255670328441	0.33963314187	0.147523361129	0.0904503352573	0.0709541399327	0.0957687526921
k	0.149090402107	0.391511009957	0.221144190043	0.0803608036724	0.0633330722594	0.094560523669
u	0.102207474102	0.315817057986	0.325577373748	0.0942805145575	0.0675388004009	0.0945787766617
s	0.0759911947873	0.198607064329	0.398154619849	0.154496013786	0.0691978151174	0.10355323962
a	0.0591056291491	0.12634024331	0.329177421883	0.270775414595	0.0765652528425	0.138036029639
m	0.0500635465164	0.0818902624233	0.200344549161	0.373346592598	0.117100344357	0.17725473141
ò	0.0392583636388	0.0617699595878	0.121506736467	0.434683942866	0.152366843519	0.19041412445
t	0.0366941074276	0.0565051837426	0.106601481309	0.447438760755	0.163976037573	0.188784408503
t	0.0399050655045	0.0405697840749	0.098803320263	0.407880708318	0.181441391724	0.231399678821
e	0.0405650864737	0.0335628370364	0.0697862640357	0.299904154333	0.284302199908	0.27187940942
è	0.0267251513176	0.0273749799885	0.0428419145839	0.181442756214	0.494153304636	0.22746188454
r	0.0174845177854	0.0194192684244	0.038904900523	0.148255808614	0.602123604212	0.173811944047
k	0.0120123802504	0.0125472243669	0.034691710284	0.148461659898	0.623037242737	0.169249874133
a	0.0111839774708	0.0105599419779	0.021958717236	0.112206077851	0.591528350246	0.252563012028
t	0.0127552813217	0.0124049475342	0.0188109897499	0.0788889222083	0.565218724749	0.311921222543
o	0.0137883087583	0.0133027525367	0.0177642689518	0.0649556813361	0.522217766916	0.367971326048
</S>	0.0145846484236	0.0140843432234	0.0168550161959	0.047485997668	0.448737901458	0.458252182024
