 	non	so	cosa	scrive	</S>
a46	0.00011222755	0.18393378	0.8142148	0.0017389191	1.502029e-07
a8	0.007724428	0.8774525	0.048827827	0.0024965107	0.063498795
a31	0.0066202055	0.78490096	0.015982023	0.19248818	8.6963955e-06
a13	0.003178994	0.029103287	0.96560985	4.1614247e-05	0.0020661857
a31	0.2769873	0.02694399	0.39663568	0.29938188	5.119061e-05
a28	0.036587257	0.29211733	0.6276399	0.043524377	0.00013119017
a31	0.28705823	0.075647265	0.524814	0.11134428	0.0011362088
a37	0.7436303	0.066494524	0.11997025	0.041424174	0.028480772
a31	0.032841746	0.15725514	0.48756543	0.18075594	0.14158174
a11	0.012908698	0.0902453	0.22532366	0.17632714	0.49519527
a31	0.02420438	0.19730991	0.26654595	0.4923622	0.019577513
a20	0.0021330582	0.030314533	0.10136761	0.36848602	0.49769875
a31	0.06629773	0.122965254	0.22200438	0.5822507	0.006481881
</S>	0.00055966456	0.050021138	0.2285884	0.4857593	0.23507145
