 	sul	muro	vuole	uno	specchio	</S>
a31	0.0006702265	5.174483e-05	0.9906384	0.008636201	3.367789e-06	9.864147e-09
a39	0.009894544	0.1526222	0.7587764	0.07718592	0.0014707461	5.0194303e-05
a35	0.0038835525	0.70734334	0.2519193	0.02830948	0.008543592	7.3170264e-07
a31	0.13784578	0.5403266	0.26767758	0.045097146	0.009052686	1.9151716e-07
a2	0.93466353	0.045884836	0.016986039	0.0013109755	0.0011542103	3.8032385e-07
a0	0.9577099	0.020144677	0.009587365	0.0058382945	0.0066335937	8.60547e-05
a20	0.7655222	0.034166396	0.058965027	0.050921366	0.086754106	0.0036710121
a18	0.84563243	0.017565185	0.05117244	0.027159652	0.046604604	0.0118656345
a31	0.5820968	0.017171012	0.04253386	0.060031686	0.22777583	0.07039077
a0	0.9285267	0.0009417063	0.0031249318	0.0028218308	0.0092786895	0.0553061
a31	0.09852928	0.07702265	0.07233907	0.27971867	0.43308616	0.039304238
a46	0.19700791	0.001829043	0.006564003	0.010739943	0.2400727	0.5437864
a33	0.020272523	0.06693508	0.04392633	0.28692433	0.5436519	0.03828985
a8	0.0047468436	0.023377866	0.014832422	0.17924154	0.73425925	0.043542102
a31	0.018530956	0.0083309	0.007824615	0.051373046	0.87227565	0.041664813
</S>	0.057190247	0.0024499595	0.00622266	0.008587865	0.18923229	0.73631704
