 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.0007032486	5.9867434e-05	0.00016128439	0.00078680227	0.0017300063	0.9965587	3.9574086e-10
a31	0.0005743609	0.07319622	0.011555446	0.0025796697	0.76547474	0.0058827377	0.14073691
a6	7.5960845e-05	0.009909298	0.0028262567	0.0337972	0.9191729	0.023533113	0.010685373
a31	0.10588518	0.20332183	0.0017310734	0.0025128857	0.55585974	0.13064429	4.4962544e-05
a37	0.018214706	0.019936299	0.03626796	0.0232869	0.8973689	0.002268045	0.002657119
a31	0.5037612	0.07274785	0.004242037	0.0054288753	0.3325036	0.08131603	4.608716e-07
a17	0.21028782	0.28347665	0.0004087032	0.0007744246	0.49901792	0.005708534	0.00032581412
a31	0.09383155	0.031285305	0.02622452	0.015801867	0.6789836	0.15351778	0.000355362
a17	0.15516034	0.036584843	0.008984236	0.01073926	0.63734025	0.11813886	0.033052236
a31	0.029691713	0.04027459	0.07363233	0.031636603	0.7245844	0.098871484	0.001308859
a8	0.009352493	0.019083826	0.01796218	0.019603973	0.8445286	0.06481889	0.024649985
a31	0.06575606	0.0992103	0.16067751	0.07614278	0.4612967	0.13558096	0.0013357701
a28	0.004447407	0.023286052	0.018902594	0.04970032	0.62939507	0.23612453	0.03814398
a0	0.0924079	0.13591306	0.19676358	0.06824782	0.38613287	0.11933566	0.0011991917
a41	0.020324567	0.06443508	0.11374116	0.10680584	0.48564932	0.19884384	0.0102002
a39	0.017017765	0.037069764	0.047834687	0.036716256	0.7058137	0.15249334	0.0030544612
a31	0.0033530437	0.022449395	0.029737225	0.12070918	0.35861057	0.3921863	0.07295423
a39	0.0034851346	0.017639602	0.009339103	0.076547354	0.15553449	0.11236503	0.6250893
a31	0.014903868	0.064080834	0.09679163	0.09259332	0.44121438	0.28535327	0.0050626984
a18	0.000869709	0.0043635294	0.0037196851	0.077888116	0.08148618	0.419912	0.41176072
a31	0.016668381	0.07409752	0.11205642	0.08529672	0.42822215	0.27969345	0.0039653806
a18	0.00059186795	0.0032710626	0.0034749836	0.092362665	0.07156827	0.58793986	0.2407913
a31	0.015874807	0.076015584	0.11357384	0.08326701	0.42165026	0.2851845	0.0044340496
a39	0.00060903217	0.003664142	0.004186797	0.10279363	0.05927223	0.6797463	0.14972782
a41	0.013359721	0.051613923	0.06428614	0.06412227	0.46643662	0.33021075	0.009970559
a8	0.0093549425	0.10935011	0.12054063	0.2735163	0.08560514	0.37906805	0.022564868
a31	0.01086304	0.109426685	0.12721252	0.19442518	0.14045988	0.40654144	0.0110713
a46	0.0014346596	0.007797305	0.006299491	0.1233123	0.04553151	0.55247533	0.2631494
a8	0.016492452	0.09933851	0.15315716	0.12589762	0.29706928	0.30296132	0.0050836434
</S>	0.002417973	0.02619168	0.033380855	0.3425292	0.02848753	0.50550175	0.061491
