 	forse	sono	usciti	</S>
a23	0.69246674	0.30753326	1.1294384e-08	6.598683e-09
a31	0.22078662	0.1413794	0.025494236	0.6123398
a23	0.08305865	0.9163193	0.000243982	0.00037808425
a31	0.4815788	0.51841795	2.9924527e-06	2.7207082e-07
a10	0.39035755	0.6096423	6.4768244e-08	3.8331706e-08
a37	0.83172584	0.16827288	1.0458705e-06	2.2525028e-07
a31	0.40598786	0.47060767	0.030544834	0.092859656
a37	0.15900695	0.1805684	0.16859066	0.49183396
a31	0.029132495	0.08403453	0.21668912	0.6701439
a39	0.006967106	0.022354417	0.32355744	0.647121
a31	0.013094802	0.19009034	0.31861532	0.47819948
</S>	0.0034682187	0.039498698	0.6552183	0.30181482
