 	l	ho	sentito	che	veniva	</S>
a41	0.001274474	0.04621683	0.9126937	0.039796066	1.425221e-05	4.6919045e-06
a31	0.0021088826	0.019803762	0.02517598	0.37600672	0.33901206	0.23789266
a24	5.2999105e-05	0.0015198863	0.17670861	0.71510637	0.0013306495	0.10528152
a15	0.05597037	0.053921618	0.824243	0.060398906	0.0028684293	0.0025975858
a28	0.028250318	0.043650772	0.9186895	0.009206462	0.00018180131	2.1132857e-05
a0	0.25814652	0.055434808	0.6004199	0.06495481	0.004240587	0.016803369
a31	0.2643963	0.14419581	0.27200514	0.05660983	0.017644968	0.245148
a11	0.029637413	0.055789243	0.3861276	0.082502976	0.029885191	0.41605768
a31	0.5054082	0.14753117	0.018862955	0.1061331	0.0077464227	0.2143181
a39	0.07083866	0.08092582	0.10283304	0.09008648	0.012114914	0.6432011
a20	0.80896425	0.051901694	0.0015442724	0.0574212	0.0061447066	0.07402397
</S>	0.39957565	0.16354595	0.026377967	0.1353422	0.0061892383	0.268969
