 	il	morto	vuole	pianto	</S>
a46	0.63205826	0.0056925234	0.18652977	0.17571898	3.5656194e-07
a23	0.000683014	0.005096467	0.0126871765	0.9126455	0.0688878
a20	0.00038244587	0.0019062426	0.06713654	0.9247436	0.0058311387
a31	0.0027192247	0.019713003	0.35318422	0.6228031	0.0015804142
a21	0.0017943847	0.0018363225	0.91568536	0.066017866	0.014666082
a11	0.54639	0.3738427	0.005315339	0.07388378	0.00056816323
a10	0.01825796	0.92322063	0.035788044	0.02262526	0.00010809849
a27	0.0174757	0.95752144	0.01509319	0.00980061	0.000109029344
a17	0.09488088	0.81222075	0.07184256	0.020427773	0.0006280307
a31	0.012705498	0.21590221	0.21017845	0.55424947	0.0069644335
a37	0.016779948	0.5213988	0.0634806	0.20864268	0.189698
a31	0.011243396	0.29564098	0.10299189	0.58861023	0.0015135065
a37	0.0018164288	0.16028756	0.05782845	0.6559465	0.12412103
a17	0.019039344	0.29104584	0.10399915	0.58333445	0.0025812744
a31	0.010061028	0.24557328	0.08748382	0.6250223	0.031859525
a10	0.0036748238	0.23078553	0.05459799	0.5211927	0.18974894
a7	0.046255294	0.14638264	0.080826454	0.7143071	0.012228427
a31	0.02073358	0.18014044	0.0947929	0.5802194	0.1241137
a33	0.0025034617	0.12735164	0.035382804	0.30316466	0.53159744
a29	0.079153135	0.14477842	0.07921138	0.6907775	0.006079624
a41	0.013218274	0.08086465	0.123318516	0.6654732	0.11712535
a31	0.005616255	0.11171542	0.09543914	0.73549163	0.05173753
a39	0.00032315677	0.03281499	0.0071663614	0.013902599	0.9457929
</S>	0.014576955	0.057073258	0.063254535	0.84590036	0.019194856
