 	mi	sono	vestito	</S>
a39	0.99984396	2.9201445e-05	0.00012680877	7.2282598e-09
a11	0.83424145	0.0014725551	0.08253471	0.08175134
a13	0.9161401	0.006591743	0.076887965	0.0003803289
a18	0.87377137	0.00071505376	0.12542437	8.917274e-05
a31	0.8864032	0.0005189112	0.1130337	4.4128992e-05
a37	0.995581	0.00010175646	0.0042695217	4.7847414e-05
a15	0.82544184	0.011011554	0.14271206	0.020834543
a31	0.10448994	0.016223062	0.2152396	0.6640474
a46	0.083150715	0.1023322	0.30113888	0.5133782
a31	0.02107321	0.090250105	0.14405929	0.7446174
a20	0.004775952	0.16859359	0.07102778	0.7556027
a31	0.03845048	0.715476	0.20692664	0.039146967
</S>	0.00091326766	0.13657317	0.044220384	0.81829315
