 	sto	ancora	cucinando	</S>
a20	0.506977	0.46986556	0.023157328	3.706373e-08
a31	0.6478316	0.016251534	0.32545084	0.010466066
a37	0.04422695	0.01941422	0.9137747	0.02258411
a20	0.75504977	0.06328451	0.17926274	0.00240308
a31	0.20781308	0.07138991	0.71946234	0.0013345961
a30	0.44241166	0.1299619	0.42193457	0.00569186
a46	0.10579093	0.09163103	0.78578585	0.01679219
a31	0.12723634	0.014019114	0.26939157	0.58935297
a39	0.15495475	0.049447734	0.48638996	0.30920762
a15	0.016078087	0.0146399485	0.15345351	0.8158285
a20	0.07937752	0.15600063	0.4463645	0.31825736
a22	0.02749139	0.2257923	0.4453803	0.30133605
a31	0.11874122	0.058328982	0.4356048	0.38732502
a46	0.010863893	0.0026157275	0.050462063	0.9360583
</S>	0.093470566	0.18242611	0.5954762	0.12862712
