 	è	che	è	entrato	da	qui	</S>
a31	0.054364864	0.08900872	0.028410178	0.073998444	0.7542178	1.9890592e-08	1.9263615e-09
a7	0.23202246	0.27050033	0.0049758437	0.08666901	0.40422067	0.0010556724	0.0005559669
a18	0.50011146	0.46862027	0.0044536907	0.00376317	0.022841003	0.00020485606	5.5687133e-06
a31	0.627162	0.32450292	0.0012594817	0.008435684	0.03837821	0.0002615629	1.4340094e-07
a46	0.8082071	0.076283395	0.0019131381	0.015681177	0.08864503	0.00921864	5.1464904e-05
a31	0.68039834	0.14707747	0.033273555	0.039139863	0.08853874	0.011486885	8.517259e-05
a39	0.31136513	0.034315076	0.0491309	0.10895865	0.18941195	0.2804959	0.026322437
a28	0.3476536	0.11812942	0.17655383	0.13487342	0.17073558	0.05123518	0.000819004
a31	0.3513585	0.051618487	0.14045085	0.10010681	0.14551747	0.2016407	0.009307149
</S>	0.025001287	0.010565259	0.019675447	0.03600238	0.13625158	0.47861204	0.29389197
