 	il	dito	si	gonfiò	</S>
a39	0.9612487	2.4573641e-05	0.03854544	0.00018126424	4.5291493e-08
a13	0.74293876	0.0056158793	0.13088648	0.09833108	0.02222772
a31	0.11922417	0.001039045	0.01774266	0.8615498	0.00044425883
a20	0.39180398	0.0023619656	0.5845375	0.021281179	1.5393614e-05
a31	0.62313443	0.030011684	0.07753014	0.2691712	0.000152567
a11	0.8761647	0.0017516841	0.047140997	0.07493629	6.329482e-06
a31	0.1261134	0.0048326273	0.08182345	0.7728927	0.014337801
a39	0.50465465	0.0073764413	0.0398619	0.31325668	0.13485034
a31	0.08534686	0.008419246	0.04607607	0.54409575	0.31606203
a41	0.02394681	0.018345986	0.036387064	0.24626902	0.67505115
a46	0.10187355	0.2261346	0.2996677	0.35136506	0.020959167
a31	0.025074944	0.06350977	0.103458665	0.6663571	0.14159948
</S>	0.00033189586	0.00084792194	0.00049066375	0.09856467	0.8997648
