 	quest	anno	che	viene	mangio	quanti	voglio	</S>
a23	7.145897e-08	4.7707918e-08	2.2759546e-05	2.0046631e-05	0.00017268154	0.9997837	7.926313e-07	2.214448e-11
a31	2.1391334e-06	0.01805531	0.8692097	0.009505379	0.04216579	0.048068397	0.010022017	0.002971322
a37	2.7542822e-07	0.0008743685	0.006637204	0.01916752	0.005098627	0.06463516	0.8996029	0.003983925
a20	1.3817629e-06	0.0013794273	0.0051472434	0.005415078	0.005513896	0.9820854	0.00045648456	1.1090099e-06
a31	3.0222978e-05	0.027731536	0.1850203	0.029003644	0.1369678	0.6184102	0.0028004958	3.5693483e-05
a7	1.306476e-06	0.039225955	0.4649756	0.0018708678	0.08887546	0.20525773	0.19943994	0.00035303173
a10	0.09139172	0.4524173	0.059931897	0.004963731	0.31074917	0.080405004	0.00014105455	8.543686e-08
a41	0.0063218744	0.75028676	0.069460236	0.0018382902	0.09157386	0.07680149	0.0036631408	5.4382184e-05
a37	0.06458749	0.7901547	0.07275535	0.0017780997	0.055225838	0.011823363	0.0036193586	5.5790304e-05
a14	0.08998711	0.5914697	0.12518649	0.0052382294	0.09155696	0.06585842	0.030125344	0.00057773327
a31	0.12241215	0.34369454	0.2827646	0.005552879	0.1024638	0.06709306	0.07503242	0.0009865671
a20	0.6635591	0.04134617	0.1856015	0.010598962	0.016857652	0.0081628645	0.030286271	0.043587502
a31	0.20097621	0.09432951	0.1396029	0.00623576	0.24901882	0.28246114	0.026718015	0.0006576565
a37	0.48248696	0.028377784	0.18061393	0.012005901	0.027851375	0.024554463	0.11709072	0.12701885
a7	0.21696964	0.057449993	0.118472934	0.011739483	0.33180356	0.23600432	0.026462384	0.0010976325
a10	0.19844815	0.033719342	0.18425775	0.048558064	0.3011645	0.15322419	0.054624595	0.02600341
a7	0.14973833	0.038081918	0.26567224	0.027604714	0.24992514	0.21237881	0.050638843	0.0059599946
a39	0.17683926	0.025707504	0.20044376	0.043292277	0.2387754	0.17010926	0.11004174	0.034790795
a10	0.20127623	0.02542279	0.17566551	0.04345301	0.2237571	0.15285224	0.14811951	0.029453624
a32	0.15927419	0.01623568	0.1470051	0.052809414	0.15049663	0.08409295	0.22855653	0.1615295
a19	0.21887353	0.03435822	0.18938528	0.03788164	0.1968122	0.14788923	0.16378224	0.011017586
a31	0.011479992	0.023075614	0.051878706	0.054642964	0.067504324	0.46871713	0.31173426	0.01096698
</S>	0.57732326	0.025656363	0.1123151	0.029294368	0.09613315	0.014681954	0.02199169	0.12260411
