 	ho	finito	di	scrivere	</S>
a38	0.9935363	1.0418284e-05	0.0039985483	0.0024547041	1.9946981e-08
a31	0.02548274	0.00016439804	0.71185005	0.01329573	0.2492071
a15	0.0009705215	0.0011740708	0.91391176	0.0035081625	0.08043543
a18	0.70942324	0.020727986	0.22284782	0.04661787	0.00038307047
a31	0.587702	0.00045124188	0.36107236	0.05055453	0.0002198373
a37	0.970902	0.00048515195	0.023087207	0.005479643	4.5984085e-05
a31	0.80983317	0.0016767686	0.17738435	0.010709725	0.0003960094
a0	0.45498782	0.012547123	0.34291738	0.16669226	0.022855306
a31	0.006602429	0.016012354	0.5224927	0.2706273	0.18426521
a18	0.015186841	0.14205392	0.26992494	0.15078525	0.42204905
a31	0.020001676	0.5551151	0.3049245	0.012014526	0.10794417
a39	0.004084917	0.28962475	0.19479743	0.029037923	0.48245504
a20	0.055350088	0.9309084	0.0075635524	0.00032737857	0.005850613
a31	0.018495837	0.88426524	0.05857423	0.003445114	0.03521959
a8	0.0011226005	0.2869718	0.17278504	0.04270881	0.49641174
a20	0.09339025	0.8025599	0.08634242	0.004851627	0.012855833
a31	0.0076648295	0.66983163	0.11335025	0.01634665	0.19280659
</S>	0.00042633052	0.087350845	0.04151114	0.07691067	0.793801
