 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.00017670346	7.685034e-05	0.0007525382	0.19138108	0.7958287	0.0026742183	0.009109857	1.3801289e-08
a31	0.17140761	0.019455487	0.044395305	0.014306168	0.087673604	0.36686382	0.27482763	0.02107038
a37	0.041364096	0.014819798	0.006168107	0.0012278912	0.02136839	0.5770206	0.08914584	0.24888533
a31	0.14202012	0.35176572	0.020443428	0.0002649022	0.015619688	0.053534638	0.4152273	0.0011241585
a20	0.2891319	0.14525418	0.026434429	0.004682744	0.09038966	0.104809046	0.33068857	0.00860949
a31	0.578089	0.25012913	0.030873911	0.043787766	0.071776055	0.004501878	0.02071545	0.00012681905
a20	0.9215727	0.02252819	0.007927208	0.013179239	0.007618798	0.0019653428	0.025092725	0.00011580062
a13	0.21304063	0.06953257	0.07726166	0.39819452	0.17995578	0.053718235	0.007982184	0.00031442047
a20	0.2058111	0.058644876	0.2611235	0.28780416	0.11200016	0.054714106	0.01903887	0.0008632584
a24	0.11376239	0.038783755	0.2011962	0.24049972	0.1554197	0.18816257	0.061019056	0.0011565798
a31	0.06763958	0.03621362	0.16076864	0.25861353	0.1931556	0.21057725	0.071701676	0.0013301286
a0	0.03237488	0.004579539	0.024871567	0.40239245	0.2188912	0.038575117	0.119538836	0.15877633
a35	0.038742114	0.023416385	0.06129405	0.36854073	0.18063626	0.13763493	0.18618256	0.003552897
a0	0.013648299	0.012994942	0.037715394	0.4840504	0.30378032	0.06292965	0.05605773	0.028823247
a31	0.01408831	0.009971278	0.06299048	0.27891144	0.13674682	0.07626711	0.39655963	0.02446489
a11	0.0018484374	0.0011724853	0.0046638534	0.50959736	0.32489002	0.009030659	0.018836517	0.12996072
a20	0.018612081	0.020058474	0.103497855	0.23137854	0.10991724	0.14629568	0.3241156	0.04612449
a41	0.0030247609	0.004080202	0.03579317	0.4296462	0.20921	0.11836572	0.086880706	0.11299918
a10	0.0015441249	0.0014300972	0.03125037	0.3180698	0.11461617	0.12300942	0.36464053	0.045439556
</S>	0.0007500254	0.0010047663	0.018284924	0.44260895	0.17390601	0.0697004	0.093835205	0.19990972
