 	l	ho	sentito	che	viene	</S>
a34	0.0006531176	3.981811e-06	0.99833554	0.0010073325	6.652748e-08	3.6421852e-09
a46	0.012965567	0.0063240165	0.80673826	0.14875941	0.017925123	0.007287487
a41	0.0078033987	0.0050629964	0.9678738	0.016025834	0.0032331361	6.4971476e-07
a19	0.02635298	0.028420817	0.9290968	0.00462026	0.011508808	4.950062e-07
a31	0.20808788	0.074138656	0.09066126	0.13039313	0.4953911	0.0013280453
a20	0.020612951	0.03832865	0.03999976	0.014223899	0.714316	0.17251872
a31	0.056354392	0.045716524	0.014847016	0.14316833	0.72696495	0.0129487775
a24	0.0077806907	0.0168562	0.064433105	0.027858663	0.7505767	0.13249464
a31	0.16358896	0.066862054	0.01973836	0.28420046	0.45857173	0.0070384606
a23	0.008130176	0.016831994	0.069007665	0.035032813	0.7695262	0.10147119
a20	0.16860473	0.05107065	0.0044199806	0.2753735	0.49018857	0.010342628
</S>	0.067061685	0.03938308	0.0060205613	0.16599637	0.70305187	0.018486492
