 	venne	scritto	</S>
a31	0.38110223	0.6188821	1.5619727e-05
a28	0.06546293	0.9345239	1.3118513e-05
a8	0.06737055	0.932629	3.9248536e-07
a31	0.2044693	0.7955295	1.1997755e-06
a20	0.5849732	0.415025	1.7400415e-06
a31	0.6917152	0.30816743	0.00011732877
a13	0.66485804	0.32888973	0.0062522944
a29	0.40640622	0.58848727	0.005106504
a39	0.08894193	0.7083018	0.2027563
a31	0.05813423	0.26206863	0.6797971
a35	0.15799826	0.0235722	0.8184295
a31	0.17814334	0.2607827	0.56107396
</S>	0.015426289	0.03409055	0.95048314
