 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.00017670346	7.685034e-05	0.0007525382	0.19138108	0.7958287	0.0026742183	0.009109857	1.3801289e-08
a31	0.0044507626	0.00018481303	0.0009715896	0.0001726111	0.00050470245	0.09696379	0.44779965	0.44895205
a13	0.0004006825	6.762585e-05	0.0011010651	0.0020792538	0.006366687	0.2672388	0.15526114	0.56748474
a20	0.23472814	0.039309274	0.005861222	0.018506236	0.0805295	0.008175995	0.5136814	0.09920821
a15	0.039351568	0.0318342	0.009746143	0.07683754	0.77971154	0.030401533	0.031690396	0.0004271043
a20	0.36295182	0.031399105	0.00977071	0.16392303	0.4005112	0.020728095	0.010683884	3.2166296e-05
a31	0.528223	0.039635036	0.02217417	0.21437697	0.16948672	0.021077417	0.00499854	2.8110831e-05
a39	0.8761102	0.035214547	0.01600478	0.03173153	0.011717585	0.010994942	0.01734503	0.0008813175
a31	0.1913113	0.010693326	0.02207666	0.08209686	0.037171084	0.052928094	0.6032897	0.0004329719
a20	0.10331884	0.010213032	0.068652056	0.06390472	0.027732536	0.1313746	0.4437571	0.15104714
a31	0.039561506	0.012918129	0.080629356	0.18368651	0.058121424	0.05957171	0.5649307	0.0005807126
a7	0.021896819	0.004147774	0.049497865	0.20040119	0.122294396	0.11584871	0.37174365	0.11416953
a46	0.06356946	0.039024808	0.10394599	0.29000515	0.10003088	0.07841239	0.32466793	0.00034338186
a39	0.054875135	0.03569393	0.07817266	0.31273425	0.20139611	0.10730147	0.20791611	0.0019103264
a31	0.022785278	0.012982678	0.08746084	0.21482739	0.102270365	0.06852923	0.48956624	0.0015780446
a46	0.0037130916	0.0014356608	0.008238856	0.46954805	0.33612767	0.021794224	0.0654035	0.09373897
a0	0.057514623	0.042243302	0.115621366	0.25079036	0.11425342	0.114258595	0.3037397	0.0015786084
a27	0.006856984	0.006604934	0.0300454	0.5275209	0.31910375	0.04248762	0.048852097	0.018528275
a20	0.024277018	0.010341274	0.07709054	0.23336342	0.102806956	0.09071899	0.4596614	0.0017403596
a0	0.0017988513	0.0016716667	0.017975982	0.57099485	0.2678102	0.05206395	0.06435019	0.023334337
a14	0.0184662	0.008871154	0.050759755	0.33930096	0.18842891	0.07265302	0.30945536	0.012064671
a0	0.0034222868	0.0030270738	0.024835393	0.5206062	0.2501002	0.03790385	0.09252441	0.06758063
a46	0.009494091	0.00638903	0.03669459	0.4171178	0.22257587	0.048801623	0.18913397	0.06979306
a20	0.005109279	0.0052701123	0.047138266	0.41585746	0.18925521	0.08589587	0.16782656	0.083647214
</S>	0.0024637335	0.0023557832	0.02713355	0.421294	0.19172226	0.057896167	0.14918378	0.14795077
