 	l	ha	scritta	</S>
a20	0.97870684	0.018933486	0.0023590433	5.779747e-07
a31	0.014124007	0.113832995	0.8213197	0.050723337
a35	0.00012237128	0.0002813438	0.99744993	0.0021463747
a31	0.117383085	0.23809417	0.64451784	4.895166e-06
a35	0.04958399	0.10475585	0.8455892	7.0993105e-05
a31	0.11467008	0.21157767	0.67375106	1.1807557e-06
a41	0.10857782	0.4423349	0.41765267	0.03143462
a31	0.009552479	0.023108097	0.70367956	0.2636598
a11	0.00681895	0.021229383	0.34098214	0.6309696
a18	0.034434803	0.031223005	0.7040863	0.23025586
a13	0.03157281	0.03791157	0.6451558	0.28535986
</S>	0.011827238	0.033823397	0.68961823	0.26473114
