 	essendosi	vestito	</S>
a46	0.78964293	0.21035671	3.373888e-07
a31	0.2466096	0.13350177	0.61988866
a18	0.16656439	0.83123857	0.0021970894
a31	0.4763731	0.5234036	0.00022332511
a20	0.14851043	0.8493145	0.002175043
a46	0.566509	0.4303223	0.0031687033
a20	0.46148726	0.21112867	0.32738408
a31	0.16316241	0.08909274	0.74774486
a0	0.11656845	0.021877496	0.861554
a46	0.26859027	0.062844954	0.6685648
a35	0.64903796	0.14040959	0.21055242
a46	0.576208	0.31638634	0.107405685
a24	0.31512436	0.18633106	0.4985446
a46	0.018281337	0.016880145	0.9648385
a24	0.12305124	0.048824944	0.82812387
a31	0.02633249	0.008352251	0.9653153
</S>	0.0062410193	0.0033030454	0.9904559
