 	voglio	che	Maria	viene	domani	</S>
a33	0.0023704323	0.040606227	0.948845	0.0081710415	6.990238e-06	2.4760146e-07
a31	0.062842935	0.36162478	0.18057415	0.0028569342	0.008978802	0.38312238
a11	0.21534163	0.60948414	0.16756019	0.0011950595	0.00011291177	0.006306136
a31	0.59386307	0.27898553	0.0092178555	0.010326349	0.10709933	0.00050783635
a18	0.1662566	0.55536485	0.26886466	0.0005353469	0.0031451634	0.00583331
a31	0.71414953	0.10637159	0.010573445	0.086017676	0.082843386	4.4381894e-05
a42	0.808937	0.14635368	0.008474628	0.015715016	0.020293081	0.00022660752
a37	0.56863576	0.114143774	0.016684728	0.06135608	0.2258993	0.013280366
a31	0.13540569	0.05335363	0.07550669	0.13702004	0.5296104	0.06910361
a20	0.06090286	0.022829758	0.017787576	0.21719825	0.38802788	0.29325366
a31	0.25666338	0.12792936	0.12238193	0.16549373	0.32343265	0.00409897
a8	0.03453551	0.014017103	0.005140253	0.31200546	0.47979736	0.15450436
</S>	0.28041726	0.08336751	0.082097635	0.13995981	0.41003072	0.0041270764
