 	che	non	li	aspetiamo	</S>
a20	0.9633597	0.031320706	0.0052816505	7.12317e-07	3.71764e-05
a8	0.0071252366	0.07370749	0.62705946	0.077722736	0.21438509
a7	0.084067576	0.8426078	0.072131574	0.00015537115	0.001037759
a35	0.06390262	0.83276117	0.101078875	0.0010985173	0.0011587683
a46	0.20224082	0.7785847	0.019170698	3.6565814e-06	1.7962691e-07
a31	0.44554722	0.5308244	0.020308219	0.0032827319	3.7462454e-05
a11	0.63440096	0.2647173	0.031937625	0.05888533	0.010058739
a31	0.14702335	0.30283248	0.1336517	0.13725099	0.27924147
a0	0.10829603	0.3376704	0.108072795	0.04044193	0.40551886
a31	0.08796704	0.12993063	0.08811766	0.04358403	0.65040064
a30	0.03987553	0.0933698	0.050400965	0.022378905	0.7939749
a0	0.2892275	0.124541454	0.20312153	0.019950848	0.36315873
a31	0.08619063	0.09010283	0.07843867	0.029471684	0.7157962
</S>	0.013879775	0.039265186	0.033413097	0.029364167	0.8840777
