 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	8.8634994e-07	6.5623533e-07	2.2412192e-05	3.9517618e-05	0.0001558466	0.020120364	0.033476282	0.29529202	0.650892	4.186996e-11
a37	0.0041371933	0.028888091	0.007852481	0.0060214126	0.020422023	0.0032957084	0.021811638	0.45568368	0.4444262	0.007461546
a31	0.03191812	0.36879033	0.3844168	0.034754805	0.06694946	0.0010808542	0.0024960467	0.026587665	0.083004415	1.4582891e-06
a20	0.0001290257	0.0007208372	0.0013667039	4.8785936e-05	0.0029499358	0.00083985174	0.0024951093	0.2205885	0.7708608	4.6253953e-07
a31	0.17498456	0.5127308	0.26575476	0.0058220173	0.009252856	0.014834716	0.004954988	0.0018377948	0.009827368	1.1257829e-07
a13	0.06276863	0.23458649	0.0066745495	6.221969e-05	0.00082215376	0.003560656	0.004367573	0.22194724	0.4651045	0.00010604345
a31	0.28311026	0.49586678	0.13043807	0.0061902	0.013309518	0.038330138	0.00453172	0.005963706	0.022257105	2.4435758e-06
a20	0.081838086	0.05147757	0.007887126	0.0009817077	0.00635789	0.010882126	0.006740403	0.17307585	0.64223903	0.01852018
a17	0.09100789	0.19246614	0.112925746	0.012274008	0.10176918	0.13970356	0.05483602	0.08821527	0.20676772	3.443029e-05
a20	0.015161976	0.06465465	0.059199143	0.008094112	0.104008116	0.051104527	0.023802469	0.087267645	0.5863856	0.00032174145
a31	0.028890586	0.07281056	0.09201703	0.0153312525	0.11569563	0.03242337	0.01696627	0.089634314	0.5354972	0.00073377276
a20	0.03192374	0.035550207	0.042103875	0.021014675	0.06966979	0.07776014	0.04573603	0.030226566	0.1271001	0.51891494
a31	0.021809679	0.06565587	0.05471378	0.009253795	0.09149969	0.07950965	0.042552713	0.06930517	0.5651173	0.0005823778
a3	0.0045292494	0.009886521	0.012302348	0.0135162035	0.03465844	0.1957936	0.10247693	0.02023324	0.35340402	0.25319946
a8	0.013401606	0.039744217	0.024930367	0.011437586	0.05477683	0.1239085	0.050413106	0.024948832	0.6491558	0.0072831833
</S>	0.025653947	0.087638624	0.06431836	0.09819623	0.14803936	0.17086458	0.12852007	0.026485605	0.2356579	0.014625339
