 	non	ha	da	mangiare	</S>
a31	0.01825756	0.0061845607	0.9652371	0.0103198765	8.9207606e-07
a20	0.0055517787	0.03502958	0.143782	0.8155997	3.691555e-05
a31	0.054929785	0.083466634	0.46448734	0.3970944	2.1841826e-05
a41	0.042116113	0.109357215	0.5100679	0.33845863	1.3299926e-07
a10	0.32955444	0.5975136	0.048986368	0.023945283	3.1639212e-07
a31	0.3607829	0.41701525	0.12400413	0.098053604	0.00014405319
a15	0.29200104	0.22389734	0.12326927	0.25698832	0.10384412
a31	0.12155336	0.049812388	0.34308875	0.46385053	0.02169505
a39	0.014096578	0.025768861	0.076706514	0.5153493	0.36807874
a37	0.11598137	0.02375365	0.3717503	0.47854114	0.009973599
</S>	0.032086547	0.010694326	0.24046066	0.6969544	0.019804018
