 	voi	avete	mai	mangiato	il	pasticciotto	</S>
a8	0.0011801235	0.00022035954	0.11036976	0.7381466	0.15008293	8.816339e-08	1.0114636e-07
a31	3.565482e-05	0.05057093	0.09974193	0.0757795	0.46543518	0.003393273	0.30504358
a21	1.1416281e-06	0.0021656025	0.021135671	0.13174398	0.836227	2.9545728e-05	0.008697114
a37	0.030540854	0.6210328	0.28209317	0.03215877	0.0043197745	0.019524645	0.010330123
a8	0.0076334258	0.3604369	0.12038632	0.2332843	0.2765274	0.0002868778	0.0014449119
a31	0.0015847768	0.2103275	0.051887713	0.111500226	0.6246921	7.641782e-06	3.4220974e-08
a13	0.0021425474	0.724987	0.13059151	0.05501858	0.08724623	1.3677697e-05	5.455724e-07
a20	0.91724336	0.011683994	0.006138748	0.014493395	0.04987793	0.0005549481	7.599751e-06
a3	0.6125548	0.11047447	0.019707918	0.033580504	0.20879592	0.013170018	0.0017164905
a31	0.13494217	0.018580668	0.013385917	0.040770065	0.6603414	0.023335781	0.10864396
a29	0.40453935	0.03383609	0.023298714	0.023603935	0.3264019	0.020272793	0.16804734
a31	0.14776455	0.07189976	0.029996593	0.042816143	0.5721651	0.120475546	0.014882371
a3	0.15085424	0.017317235	0.009478685	0.014002746	0.6002638	0.054940403	0.1531429
a31	0.054340318	0.051523086	0.033132695	0.06634783	0.519983	0.2577483	0.016924774
a24	0.03021123	0.010946361	0.008103276	0.011507594	0.5165452	0.18947257	0.23321381
a31	0.04228924	0.10749602	0.065833375	0.09799803	0.328143	0.34686863	0.011371657
a39	0.0056521976	0.008139447	0.005827431	0.008482787	0.39913663	0.2915881	0.28117338
a31	0.023594862	0.16903129	0.10696841	0.093866006	0.13959557	0.45851344	0.008430347
a33	0.0007655882	0.008926598	0.0063137454	0.006709285	0.10214331	0.6985684	0.17657304
a31	0.018925305	0.17447522	0.100529306	0.09772883	0.099387765	0.50064415	0.008309379
a23	0.00038517534	0.011753163	0.00943287	0.004517624	0.029471578	0.88420933	0.06023022
</S>	0.015467627	0.15070239	0.08296896	0.09545335	0.08169056	0.56355894	0.010158141
