 	forse	stanno	ancora	svegli	</S>
a31	0.016129	0.9143123	0.068976514	0.0005820994	3.777277e-08
a10	0.015536455	0.36268875	0.3300159	0.29160056	0.00015827948
a20	0.1308549	0.21319012	0.007912008	0.64802873	1.43097395e-05
a31	0.034638327	0.8577504	0.08157117	0.02603955	4.796658e-07
a18	0.0581488	0.2767175	0.50565165	0.15947966	2.4235148e-06
a31	0.6223402	0.20756865	0.057298996	0.112748064	4.4091445e-05
a35	0.05092619	0.09113703	0.56040025	0.29668674	0.00084974896
a31	0.15585768	0.24370399	0.2800132	0.31965926	0.00076585315
a10	0.0690632	0.049095683	0.1499032	0.6242237	0.10771425
a20	0.14281681	0.22848386	0.2777313	0.3478313	0.0031366842
a29	0.086187005	0.09890699	0.26440892	0.5309345	0.019562611
a20	0.13580614	0.11059263	0.21140158	0.44425347	0.0979461
a31	0.04668343	0.048684664	0.18815464	0.4012158	0.31526142
a28	0.013636897	0.006993553	0.012850349	0.035887543	0.9306317
a8	0.09052066	0.17718297	0.34346095	0.3746224	0.014212976
a21	0.031878315	0.07922233	0.33597258	0.25804058	0.2948862
</S>	0.12369892	0.14422426	0.30560693	0.32258284	0.10388705
