 	non	ho	cosa	a	fare	</S>
a8	0.032224245	0.0040804967	0.905978	0.05506147	0.0026557022	2.2755826e-08
a31	0.0038746858	0.0013709916	0.014385967	0.2512435	0.1920404	0.53708446
a37	0.00086215796	0.003382986	0.35074866	0.38082448	0.08685778	0.17732392
a11	0.20406188	0.56596947	0.14446928	0.01861156	0.05621558	0.010672284
a13	0.091400854	0.5220947	0.30041897	0.025858149	0.058291942	0.0019353693
a20	0.8139699	0.08506192	0.03557731	0.019739227	0.044471506	0.0011802241
a31	0.37613788	0.17268354	0.12139208	0.15866436	0.15631929	0.0148028815
a8	0.0846735	0.06858272	0.054582622	0.22858576	0.5234984	0.0400769
a31	0.018527329	0.021626662	0.0761889	0.4375052	0.29561713	0.15053476
a46	0.0035060113	0.010196675	0.012691449	0.046069644	0.12491079	0.8026255
a8	0.049567696	0.055251997	0.04873366	0.34536707	0.48176003	0.019319572
</S>	0.033983868	0.06170817	0.08104611	0.24853103	0.3030365	0.2716944
