 	ho	cosa	a	fare	</S>
a23	0.050652117	0.04210523	0.9071851	5.7491987e-05	1.3447942e-08
a17	0.08366372	0.48515812	0.30182368	0.092501946	0.036852535
a31	0.047908217	0.5082887	0.4176904	0.025924476	0.00018824634
a8	0.0648769	0.4516162	0.46264306	0.020863589	3.8568697e-07
a31	0.030558722	0.40638068	0.5627829	0.00027771445	1.9681955e-10
a13	0.346649	0.29429385	0.3576842	0.0013729315	2.5318469e-08
a24	0.15614684	0.3209823	0.4960037	0.02686628	8.7940833e-07
a31	0.33492336	0.07705428	0.34628674	0.23050633	0.011229276
a13	0.18466622	0.022977196	0.10985825	0.06581944	0.6166789
a31	0.12528849	0.044604033	0.15180019	0.32301998	0.35528725
a18	0.008135876	0.0060101305	0.028643964	0.02138305	0.93582696
a0	0.02546223	0.01693633	0.041032072	0.18941432	0.727155
a39	0.01615678	0.022202749	0.04517365	0.14998877	0.76647806
</S>	0.012955237	0.019267058	0.10343466	0.490041	0.374302
