 	la	casa	la	costruirono	i	muratori	</S>
a31	0.005928894	0.027060376	0.17769428	0.0018305713	0.0549723	0.7325136	3.4948794e-08
a17	0.043102738	0.44640252	0.28666538	0.00083637633	0.19714536	0.024572473	0.001275096
a39	0.26987445	0.52287596	0.051510196	0.00063706376	0.06747183	0.087591425	3.8993523e-05
a3	0.093712986	0.7150388	0.018447591	0.00045249367	0.023347618	0.1489901	1.0367238e-05
a35	0.093284585	0.87385356	0.014419217	0.006035886	0.0022639756	0.010020343	0.00012236764
a31	0.09354297	0.6792849	0.01613991	0.20716454	0.0012614181	0.0017211337	0.0008851213
a24	0.32010087	0.64630866	0.0046296516	0.027913783	0.00068653224	0.00012883129	0.00023174168
a31	0.27992174	0.08799268	0.029986395	0.509181	0.015489146	0.077422254	6.7401984e-06
a39	0.23225419	0.21970235	0.0367045	0.028909586	0.029890975	0.10976165	0.34277675
a31	0.041298088	0.043894358	0.036756773	0.74725485	0.02597628	0.1043724	0.00044730585
a24	0.07085471	0.11557545	0.098834656	0.21712723	0.037691332	0.097077034	0.36283958
a31	0.06466116	0.07490618	0.0764652	0.6093126	0.061373197	0.11254818	0.0007334535
a28	0.03110031	0.05724057	0.09547404	0.14130348	0.059025817	0.2302762	0.38557956
a45	0.054638337	0.062490188	0.06645992	0.6384775	0.055600267	0.12049185	0.001841905
a31	0.027748112	0.025223989	0.034575805	0.26238075	0.040664483	0.20080543	0.4086015
a20	0.062106773	0.04475214	0.059930623	0.3469675	0.10392083	0.21906309	0.16325909
a31	0.08846678	0.096002445	0.14048868	0.1678642	0.1535088	0.3483183	0.005350819
a8	0.011158803	0.01256275	0.045297757	0.046041753	0.13563257	0.67995405	0.069352314
a31	0.13944794	0.13186184	0.17791335	0.097720034	0.17581804	0.275629	0.0016097379
a20	0.018344563	0.020523978	0.06433417	0.013673402	0.14879805	0.70505005	0.029275801
a18	0.15909907	0.16183776	0.1658375	0.17030294	0.14314748	0.19829187	0.0014834685
a31	0.05951499	0.069562234	0.10649654	0.13554357	0.10807861	0.486854	0.033950146
a11	0.012419901	0.01573457	0.054146957	0.07718086	0.09908291	0.29824084	0.44319403
a27	0.08001322	0.09308218	0.09795556	0.30456316	0.084476136	0.3337129	0.006196787
a31	0.038120776	0.04704431	0.08601815	0.23483539	0.102476545	0.43394175	0.057563085
a0	0.001083741	0.0014291841	0.008216602	0.032392327	0.045286305	0.13111143	0.7804804
a31	0.06737595	0.076147474	0.10483174	0.15331301	0.1079322	0.4813124	0.0090871835
a18	0.0010815922	0.0016121196	0.010878207	0.014877895	0.07246222	0.3918674	0.5072206
a31	0.071169354	0.07895368	0.096924506	0.23417287	0.09220657	0.4175666	0.0090064285
a46	0.0020589659	0.003046664	0.018837621	0.010368117	0.08345762	0.49692753	0.3853035
a14	0.051663704	0.05568632	0.059047382	0.5327181	0.054755922	0.23549762	0.010630938
a8	0.0561084	0.06905052	0.16344123	0.020262504	0.18939671	0.44788158	0.053859055
a31	0.06017807	0.0688517	0.10415603	0.12575851	0.112385094	0.51050687	0.018163657
</S>	0.0045012655	0.0057443236	0.029685533	0.046226837	0.11742835	0.28655484	0.50985885
