 	lo	ho	finito	di	fare	</S>
a8	0.008305957	0.85168004	2.7345439e-05	0.1385326	0.0014542276	2.5077853e-08
a31	0.26053572	0.04827025	0.0014669837	0.08480209	0.06966771	0.5352572
a20	0.0045284606	0.01281589	4.668804e-05	0.66656655	0.28197768	0.03406478
a24	0.49912795	0.33804426	0.023071771	0.027099848	0.1005005	0.012155726
a18	0.52875423	0.32888117	0.00066826073	0.070443705	0.07099946	0.00025316176
a31	0.44708052	0.49162096	0.00049095746	0.02646294	0.03434097	3.601452e-06
a20	0.68692774	0.29421553	0.00020514778	0.0043409043	0.014270531	4.01611e-05
a10	0.38035542	0.050365534	0.0077311737	0.25455785	0.30519485	0.0017951593
a20	0.4598336	0.052530747	0.01068615	0.15280986	0.31491378	0.009225823
a7	0.46850693	0.016008377	0.01216601	0.12649482	0.3326366	0.044187274
a31	0.17183661	0.065999135	0.050917976	0.29656675	0.40567678	0.00900271
a20	0.4321702	0.051433697	0.031745993	0.11124541	0.32580474	0.047599874
a18	0.079364486	0.047426507	0.36015108	0.17401217	0.31627488	0.02277083
a24	0.03634911	0.028650017	0.3154124	0.19640318	0.41295725	0.010227996
a46	0.025799217	0.011931639	0.25232887	0.1333547	0.5090431	0.06754247
a31	0.029053556	0.02198479	0.24748227	0.10088094	0.5820928	0.01850564
a33	0.0069914428	0.00090010563	0.013513482	0.003825551	0.03761211	0.93715733
a8	0.015019111	0.01446088	0.564186	0.087347195	0.2976417	0.021345086
</S>	0.0029986687	0.0031167918	0.6258984	0.0291547	0.15528682	0.18354462
