 	la	casa	la	costruiscono	i	muratori	</S>
a31	6.4642322e-06	0.009801393	0.014804434	0.088250495	0.014358285	0.8727789	1.7701162e-09
a18	0.021134948	0.8692725	0.018536609	0.00013434631	0.0754932	0.01369241	0.0017360249
a31	0.07510044	0.6462682	0.07233868	0.026663762	0.0016024153	0.17800362	2.2957895e-05
a20	0.0015872732	0.01888655	0.0020491108	0.015068989	0.21272561	0.74968225	1.6469116e-07
a31	0.2493919	0.09832469	0.013589772	0.063847	0.0035273072	0.57131535	4.0339582e-06
a37	0.023397451	0.037534337	0.00012358403	0.030775469	0.16711889	0.7388589	0.0021914076
a18	0.38792685	0.03944697	0.03541388	0.11294104	0.031206496	0.39298916	7.556801e-05
a46	0.12496684	0.12550503	0.14229628	0.2213492	0.12254085	0.260541	0.0028007925
a31	0.08623623	0.13008288	0.16266556	0.15204747	0.08447235	0.3736517	0.010843855
a46	0.13630603	0.09119383	0.079375766	0.0035507297	0.016645802	0.022347264	0.6505806
a31	0.06881806	0.07046047	0.13381203	0.26372918	0.09791273	0.36068097	0.0045866193
a46	0.013648564	0.028605899	0.033971105	0.012479492	0.025090035	0.1094185	0.7767864
a31	0.063360184	0.06477582	0.121283606	0.2642423	0.10398378	0.3750182	0.0073361844
a46	0.011275395	0.029620804	0.035929427	0.031624995	0.04382041	0.23062404	0.61710495
a31	0.04784145	0.056705527	0.08907825	0.23210423	0.085084885	0.46489406	0.024291594
a18	0.007920732	0.026181048	0.027370675	0.07981093	0.08200327	0.45549488	0.3212185
a31	0.0332069	0.051544815	0.06795937	0.1915399	0.07611658	0.5230017	0.0566308
a37	0.004370995	0.0152922515	0.014585125	0.12289008	0.09869139	0.56734276	0.17682742
a13	0.012786166	0.037411854	0.03785789	0.15768781	0.077008754	0.583198	0.0940495
a31	0.018917108	0.044475105	0.07458853	0.3110402	0.14599851	0.3947758	0.010204775
a20	0.00202392	0.0065800026	0.006918991	0.124958634	0.094840184	0.49343413	0.2712442
a31	0.015303357	0.03854182	0.054522093	0.27812862	0.098105006	0.49763972	0.017759329
a20	0.0017336383	0.005610615	0.005801985	0.13142514	0.10702041	0.5091053	0.23930286
a31	0.018618375	0.052779563	0.05863188	0.1970633	0.0960757	0.5259244	0.05090686
a20	0.0025018035	0.010219913	0.009575436	0.15171012	0.12843579	0.50079876	0.19675817
</S>	0.030043883	0.07260659	0.075841695	0.1626958	0.1061801	0.4470086	0.105623364
