 	è	pericoloso	di	nuotare	di	notte	</S>
a37	0.26604155	0.34466368	0.08077163	0.23178017	0.07265871	0.004084201	4.1691596e-08
a31	0.00017870322	0.0017204211	0.1162189	0.13261715	0.19097216	0.553769	0.0045236787
a7	0.0018729481	0.0010173175	0.09380375	0.1303524	0.2213036	0.3825452	0.16910474
a31	0.027261302	0.015051704	0.18085513	0.33578265	0.24201009	0.19845317	0.0005859097
a20	0.08280971	0.0076439832	0.12949932	0.19908516	0.1795266	0.39153078	0.0099044535
a2	0.033264965	0.91036457	0.016821753	0.027827362	0.0059803827	0.0057379515	2.9675791e-06
a41	0.005437349	0.9453329	0.0050119446	0.036911733	0.0043026404	0.002919208	8.424273e-05
a20	0.007527015	0.831	0.020320985	0.12714207	0.011216226	0.0022939097	0.00049991976
a46	0.012010418	0.4065136	0.10959281	0.2803686	0.101255454	0.08783413	0.0024250099
a31	0.02984264	0.32149583	0.14637594	0.32533035	0.11847206	0.057460524	0.0010226113
a11	0.0016246459	0.4970651	0.041148886	0.11476529	0.039598074	0.13099684	0.17480114
a35	0.034273326	0.17828225	0.11257336	0.3335189	0.13717715	0.20221648	0.001958612
a31	0.025243761	0.09458186	0.15655743	0.13796455	0.10894356	0.44684136	0.029867478
a11	0.0041890983	0.2962529	0.04259286	0.2758513	0.04492657	0.118639454	0.21754779
a28	0.040267915	0.022315083	0.21519834	0.08952952	0.14066197	0.47412032	0.017906852
a20	0.029839631	0.037349265	0.149811	0.07062771	0.10253073	0.53200173	0.077839926
a10	0.025559748	0.0056257825	0.092962936	0.11936019	0.09661835	0.6273193	0.032553695
a31	0.01682081	0.005156176	0.07125697	0.06212499	0.07697216	0.57117337	0.19649553
</S>	0.0068007857	0.23673871	0.03395299	0.22272411	0.03581002	0.08377034	0.38020307
