 	l	anno	che	viene	mia	sorella	sta	per	sta	per	studiare	medicina	</S>
a8	0.00018533578	2.6675143e-06	4.6150668e-05	0.0002100977	0.026788013	0.00031007268	0.0012709517	0.8302876	0.014481411	0.0010805428	0.0022109202	0.12312621	3.0303557e-10
a31	0.0030791922	7.815325e-05	0.029348783	0.00018610698	0.004844672	0.00021106249	0.0010908296	0.45630237	0.00075332297	0.30296054	0.179522	0.017360477	0.0042624087
a23	0.0039554546	6.878821e-05	0.011367307	0.00022298894	0.0035421585	0.00026233157	0.0010749472	0.11908406	0.000870767	0.15697967	0.6203165	0.013758608	0.06849645
a31	0.082609795	0.006744248	0.07317888	0.0026685237	0.017361427	0.0020333512	0.0047817403	0.24376981	0.0031742465	0.48898545	0.058438256	0.016113836	0.00014041293
a39	0.0069029885	0.00082714093	0.02727187	0.0006293982	0.0047501265	0.00062035664	0.0015044628	0.12818062	0.00102785	0.22943404	0.22285554	0.3683536	0.0076420703
a8	0.013264895	0.0019256084	0.03177564	0.00463027	0.033870272	0.0049268943	0.02456174	0.29537654	0.028945545	0.4200951	0.12406883	0.016558338	3.211401e-07
a31	0.03834823	0.093935125	0.17908926	0.0073134652	0.047484938	0.0137440525	0.0604889	0.33685756	0.043503657	0.1316288	0.032671224	0.014928318	6.5090785e-06
a13	0.106610715	0.15353759	0.4724341	0.00046956784	0.0018655653	0.00068226096	0.00085933274	0.06375978	0.0010964592	0.04598916	0.02982898	0.12263027	0.00023625622
a31	0.003873376	0.4372324	0.014950933	0.026776183	0.060473386	0.062155433	0.14149638	0.08539423	0.10401069	0.045146458	0.015393464	0.0030964129	7.496156e-07
a46	0.0019209617	0.28529793	0.03023563	0.0023690835	0.006388387	0.0056839	0.010344052	0.1324178	0.023264972	0.1837017	0.14787138	0.16518867	0.0053155283
a35	0.008648796	0.63723564	0.029291423	0.008296682	0.012105034	0.011563852	0.02585938	0.039764464	0.04654044	0.056469418	0.08069805	0.04339548	0.00013138648
a24	0.004025103	0.8230081	0.03476066	0.0032795263	0.004313889	0.00452806	0.008036794	0.024694009	0.015490724	0.02744774	0.030844875	0.015873343	0.00369717
a18	0.003908191	0.7979221	0.03957723	0.0036024633	0.0048386217	0.005745923	0.009681153	0.034581944	0.017254198	0.03809768	0.035374448	0.0090629775	0.00035323072
a17	0.0054443874	0.5602365	0.03408834	0.0042278906	0.008087183	0.0077024666	0.02907563	0.060607098	0.092847496	0.09290064	0.091265745	0.011289692	0.002226848
a43	0.003783129	0.80920273	0.039599665	0.0021713846	0.0023618254	0.0030040462	0.0027591558	0.019829925	0.003984511	0.033498704	0.053439286	0.0251639	0.0012017536
a31	0.038291596	0.20955162	0.046894226	0.03186923	0.034325894	0.038485352	0.058518127	0.06422248	0.1207529	0.15070446	0.18721479	0.018702839	0.00046646493
a20	0.0012746124	0.45165995	0.051088512	0.003492125	0.009503325	0.008936596	0.037373368	0.14740126	0.09722984	0.050166827	0.019586824	0.011893902	0.11039282
a24	0.021991845	0.3871668	0.031745862	0.007568603	0.0091906	0.009698659	0.016819922	0.040356968	0.04742585	0.14566275	0.23888257	0.042623412	0.0008661462
a49	0.028664758	0.0963985	0.02204272	0.008508041	0.025055522	0.015661003	0.07536353	0.10844009	0.24508876	0.156517	0.21167688	0.0019184361	0.004664708
a39	0.015502237	0.5926453	0.06499554	0.012576581	0.013536226	0.014408845	0.016071826	0.04125186	0.024540918	0.06050596	0.09625962	0.03538783	0.012317313
a19	0.0079603605	0.74809915	0.052855823	0.006459623	0.0072508007	0.0077725193	0.008368067	0.029298548	0.011310491	0.034613788	0.05024572	0.024686977	0.01107811
a18	0.09169056	0.10228366	0.048994772	0.037684247	0.040231917	0.04251581	0.05970474	0.072866	0.13122696	0.17151468	0.18156417	0.017664699	0.002057782
a31	0.036961403	0.35524362	0.09366209	0.030336099	0.042956583	0.034944918	0.041622166	0.073894344	0.045413934	0.047471303	0.06496949	0.0064236126	0.12610047
a17	0.0012856821	0.6868572	0.075599924	0.0063171694	0.011910982	0.010804158	0.034443203	0.07254919	0.076214336	0.011419041	0.005829626	0.0025827556	0.0041866824
a20	0.04480125	0.016856946	0.051371377	0.04087949	0.052045725	0.04904455	0.10755911	0.09845331	0.32168037	0.11126344	0.08488444	0.014559832	0.006600142
a31	0.032731578	0.042807523	0.098687164	0.068840034	0.08473281	0.07514887	0.1085656	0.10396796	0.17855786	0.05121034	0.05858919	0.016062072	0.08009902
a37	0.0033590721	0.31630313	0.085473485	0.041156497	0.05618249	0.047333878	0.10986124	0.06546541	0.19002946	0.008668507	0.0066016926	0.0055756513	0.06398946
a31	0.053963065	0.019927867	0.080603175	0.058458548	0.08117547	0.06768578	0.10592259	0.1129421	0.17966309	0.09487354	0.11742636	0.010551292	0.016807135
a20	0.0036629033	0.08379236	0.06278864	0.058224443	0.07203406	0.06038764	0.12437219	0.05058626	0.20414813	0.0071396506	0.006979199	0.016290061	0.24959448
a31	0.08113982	0.021354467	0.09272057	0.062020294	0.08777762	0.070006736	0.0815745	0.11471511	0.10329528	0.105422154	0.15877268	0.0072023747	0.0139983995
a24	0.003978373	0.030513868	0.06178618	0.0703268	0.07959618	0.06891872	0.119442694	0.049410816	0.18112494	0.007829703	0.008662365	0.022997068	0.29541227
a20	0.11550684	0.015666733	0.07760419	0.044208582	0.082314834	0.053664137	0.06306938	0.11766068	0.07818921	0.11523124	0.22237568	0.0024767092	0.012031796
a24	0.07157272	0.005349853	0.07323816	0.053748064	0.08994793	0.06378312	0.09244738	0.13169341	0.16547531	0.06872324	0.08514264	0.0019924226	0.09688579
a8	0.10519472	0.025470672	0.09832034	0.031945232	0.10796611	0.04302665	0.046149608	0.14139578	0.033970322	0.04582982	0.18956816	0.0014073597	0.12975526
a31	0.032003526	0.013225983	0.081054114	0.06153128	0.08377528	0.06661109	0.08437844	0.09333312	0.13369167	0.041600756	0.05887087	0.0055432455	0.2443806
a29	0.0054513183	0.18552507	0.1304495	0.069442	0.083306715	0.07423245	0.12048552	0.08867702	0.16923293	0.012600202	0.010300384	0.0063673817	0.04392951
a31	0.0973829	0.0066701486	0.078138225	0.049408834	0.10745898	0.062063545	0.084986374	0.13600616	0.11123065	0.0793512	0.1503129	0.0015867592	0.035403326
a28	0.004570991	0.045373067	0.064719096	0.07653763	0.08749679	0.07357157	0.11597169	0.046451505	0.15540317	0.0068186168	0.0077871312	0.017292202	0.2980065
a24	0.109069325	0.0063656042	0.088835284	0.058827292	0.113241225	0.070248365	0.07800232	0.13305883	0.085321635	0.083336	0.15156679	0.0017907076	0.020336607
a46	0.16605827	0.0019566547	0.048105046	0.022578742	0.1058253	0.03169452	0.03954014	0.12977497	0.04517703	0.035690244	0.1490846	0.00067557173	0.223839
a31	0.11285775	0.0049338825	0.07156257	0.031571668	0.117015295	0.041824337	0.043158855	0.1246088	0.035432085	0.034789912	0.14683124	0.0008182059	0.23459537
a33	0.004713029	0.09986384	0.08565606	0.073271014	0.08425073	0.0707703	0.09930872	0.05222658	0.117031485	0.007215738	0.0072236555	0.005896195	0.29257265
a17	0.14679208	0.005183462	0.0782407	0.048740488	0.10863977	0.060032822	0.063507214	0.13036704	0.065384924	0.08797845	0.18784453	0.0012321841	0.016056346
</S>	0.02119866	0.0028617934	0.08048359	0.095753714	0.14673749	0.100180894	0.124950506	0.0941183	0.15472166	0.02155894	0.04055028	0.0034558957	0.11342831
