 	le	melanzane	vogliono	girate	</S>
a31	0.9905157	0.007934666	0.0010731933	0.0004706735	5.779607e-06
a35	0.23242305	0.56100535	0.19853388	0.00400722	0.0040305224
a41	0.060446136	0.006674768	0.8933335	0.03886343	0.00068211305
a10	0.1924685	0.006371868	0.5654322	0.23548174	0.00024570647
a18	0.7614461	0.0046803635	0.050298236	0.16479908	0.018776145
a35	0.77170795	0.0031044385	0.00875529	0.18722285	0.029209476
a31	0.45155028	0.00726447	0.033964094	0.49502596	0.01219527
a34	0.0018998997	0.0019143169	0.7512658	0.20263258	0.042287465
a8	0.001834227	0.017073857	0.29447627	0.62271214	0.063903496
a31	0.19513159	0.045808	0.286255	0.35385123	0.118954204
a8	0.0049314904	0.055322234	0.13109453	0.63148457	0.17716719
</S>	0.1825945	0.077227585	0.14007206	0.36832857	0.2317773
