 	mi	si	gonfiò	il	dito	</S>
a31	0.6767014	0.025039088	0.27313423	0.025111802	1.2903067e-05	4.824438e-07
a11	0.9049425	0.009807892	0.008803342	0.076017216	0.0004137478	1.5349222e-05
a31	0.5128434	0.41005483	0.012724251	0.030867958	0.033396598	0.00011305478
a15	0.79706365	0.009615771	0.057625476	0.13564257	5.2572617e-05	2.5638405e-08
a31	0.8277638	0.16301167	0.0022635823	0.001983182	0.004977562	1.9223161e-07
a0	0.9679188	0.023026204	0.0026874263	0.00502699	0.001340443	7.073253e-08
a46	0.47091433	0.35861763	0.015801383	0.017104056	0.13720797	0.00035470145
a31	0.13420065	0.33190614	0.07426436	0.10488342	0.34902772	0.005717668
a18	0.20447797	0.051653408	0.034705445	0.047253966	0.13843392	0.5234753
a31	0.11150017	0.1739922	0.14117324	0.20495608	0.34968272	0.01869559
a24	0.017750261	0.008474974	0.029186482	0.052526448	0.15894605	0.73311573
a28	0.108859174	0.09406069	0.15366445	0.22589171	0.37518486	0.04233911
a13	0.076977886	0.039864894	0.20531347	0.27740657	0.36488014	0.03555697
a20	0.072122104	0.05421515	0.15667816	0.24983642	0.43294638	0.034201726
a17	0.02033104	0.012027251	0.08030912	0.16974677	0.32390362	0.39368218
a39	0.025785873	0.013154501	0.09352812	0.16705175	0.4375623	0.26291746
a20	0.043457784	0.021704866	0.090497665	0.13125664	0.37388268	0.33920038
a31	0.012171281	0.0056715044	0.059665933	0.10791701	0.29871246	0.51586187
a41	0.008835647	0.009837667	0.050908756	0.062004212	0.06285124	0.8055625
a8	0.032597933	0.012753335	0.1408255	0.23445366	0.5038261	0.075543515
a37	0.0033236523	0.0021271964	0.11436626	0.23060438	0.40594327	0.24363524
a8	0.029401336	0.0092361	0.15153134	0.17329407	0.3489857	0.28755143
</S>	0.0022044585	0.0013034698	0.0664859	0.13275623	0.332097	0.46515292
