 	non	aveva	dove	aveva	per	stare	</S>
a7	0.6912294	0.0017875226	0.24069701	0.00090076897	0.06537409	1.1051392e-05	5.5299473e-08
a31	0.07843331	0.04000606	0.03737272	0.059788253	0.76448214	0.018939147	0.0009784157
a29	0.008743113	0.035421904	0.14338028	0.107870474	0.6891889	0.009876143	0.005519069
a19	0.23448217	0.44763273	0.107177295	0.011651274	0.058581565	0.14046769	7.2987523e-06
a46	0.42668578	0.47664154	0.019972334	0.05817108	0.0115653295	0.0069612004	2.8214001e-06
a31	0.16293676	0.009435109	0.046166874	0.3286218	0.34122983	0.052172262	0.05943736
a38	0.15300651	0.04383464	0.0407155	0.040552307	0.5899066	0.023751842	0.10823258
a31	0.04190447	0.05999845	0.30808824	0.16058932	0.33880258	0.069179505	0.021437403
a20	0.027161762	0.021882346	0.16398184	0.08400667	0.48743033	0.050565388	0.1649716
a31	0.05831354	0.11332116	0.3385969	0.20340717	0.24880184	0.033796113	0.003763169
a0	0.022291621	0.028210476	0.32111067	0.1801146	0.3731	0.03396768	0.0412049
a31	0.08797028	0.14899121	0.30226168	0.19700949	0.22535153	0.03585735	0.002558452
a46	0.01970764	0.03108071	0.36434522	0.20406592	0.35476434	0.015057371	0.010978713
a18	0.13770242	0.15837368	0.24328876	0.17753634	0.19493225	0.085032344	0.003134235
</S>	0.049952105	0.09392774	0.37356326	0.2316574	0.22784367	0.017950956	0.0051047965
