 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	2.5381794e-07	1.6181195e-06	2.505447e-06	7.806963e-08	0.00015440221	0.00020870045	0.56337714	0.023886545	0.31513298	0.026130544	0.034013346	0.03709187	9.799505e-12
a24	0.0007313985	0.014087479	0.00086131576	1.6885299e-06	0.12878011	0.024302766	0.44033703	0.10923247	0.010839327	0.23063573	0.014198313	0.025588937	0.00040337656
a28	0.0076321485	0.036423277	0.11517417	0.0005967563	0.20695467	0.023537938	0.18411759	0.13483793	0.093160786	0.0008758445	0.07699495	0.11969225	1.6965723e-06
a39	0.000122524	0.002302899	0.00021122412	0.0011390939	0.010809448	0.00077263894	0.09862583	0.018844515	0.56908464	0.025440522	0.14427078	0.12837583	8.8432735e-08
a17	0.013638687	0.05685945	0.044982955	0.00069406885	0.05718001	0.002588135	0.33654264	0.055217545	0.3908599	0.016468383	0.0063341525	0.018614119	1.995426e-05
a31	0.03953274	0.16158925	0.21783108	0.00029160455	0.063689895	0.0020022918	0.19975905	0.036115453	0.24670856	0.016602924	0.006321264	0.009494951	6.0942904e-05
a20	0.29469922	0.16785595	0.34425747	5.0471976e-06	0.064795844	0.0033709735	0.04631351	0.012999124	0.046396513	0.0071329353	0.005722373	0.006399126	5.1886374e-05
a31	0.105306126	0.013388481	0.5198458	0.00281127	0.0126822805	0.0037259955	0.09253542	0.06806005	0.029507095	0.05822095	0.038857058	0.055056434	3.1027034e-06
a17	0.034548633	0.002741618	0.021433115	0.00046244293	0.022790238	0.010135802	0.2579402	0.16781928	0.052210953	0.3392428	0.014755545	0.068048984	0.007870404
a8	0.013252439	0.006823926	0.03608129	0.0032601906	0.006072568	0.004433986	0.04222471	0.030565687	0.044449024	0.03151312	0.18792824	0.5932859	0.00010884986
a31	0.016355548	0.01105493	0.113109775	0.004296679	0.015882954	0.007604811	0.08428792	0.06659391	0.05885414	0.06245224	0.109648764	0.44895548	0.0009029515
a8	0.0043820576	0.0016930272	0.01841289	0.0005690786	0.027170802	0.01710515	0.4220756	0.2590948	0.0089212395	0.23294494	0.0018964224	0.003073331	0.0026607066
a24	0.015163888	0.023512127	0.04730493	0.009793035	0.011351328	0.012503785	0.060530014	0.057428833	0.13732056	0.043403834	0.21788695	0.36342138	0.0003793062
a31	0.0062697255	0.006020077	0.02730496	0.0048273583	0.0075699617	0.008115979	0.17537038	0.11261348	0.023428034	0.19453782	0.13745917	0.29626355	0.00021947517
a20	0.0019835203	0.00081047026	0.017004615	0.0008548961	0.013233568	0.0074759354	0.43056092	0.21925187	0.007633523	0.26861265	0.0025960386	0.013425532	0.016556432
a31	0.015862409	0.018422658	0.04714777	0.006385129	0.008408225	0.008510966	0.049712606	0.047955867	0.07928734	0.053952627	0.26480058	0.3992708	0.00028300242
a41	0.0006630588	0.00076518126	0.0091975145	0.0017447994	0.009333903	0.00687419	0.4031559	0.19440825	0.010881885	0.30698648	0.007219114	0.038171925	0.010597868
a31	0.019006398	0.031620793	0.04404553	0.013304489	0.011860189	0.015411629	0.045138344	0.04969458	0.13636987	0.039926898	0.24522296	0.3479982	0.00040009886
a13	0.0006761786	0.0013389096	0.010460192	0.0032736254	0.011751265	0.009022469	0.37446675	0.17432657	0.018836087	0.2889893	0.015328779	0.073987536	0.017542277
a37	0.020893317	0.034542393	0.048045535	0.01658017	0.0144087225	0.019445958	0.060489863	0.06023858	0.18063308	0.040412467	0.20105237	0.30273667	0.00052084075
a8	0.014285417	0.043447725	0.047957547	0.033348937	0.018749129	0.041040417	0.072983325	0.10405321	0.26838902	0.0564321	0.14422368	0.1509115	0.004178014
a39	0.0143798385	0.04447342	0.06196561	0.02675073	0.028625323	0.030010505	0.063151546	0.06499101	0.16331965	0.033172466	0.1577114	0.30953813	0.0019103563
a20	0.01006909	0.020282106	0.072402865	0.017073084	0.028055979	0.021901919	0.0919363	0.06848188	0.10810998	0.06347241	0.11345959	0.37941986	0.0053349175
a24	0.010115671	0.021023102	0.07540983	0.018236313	0.02900475	0.02406914	0.113700554	0.08138772	0.07282457	0.101127125	0.115175106	0.32195967	0.015966408
a18	0.020858005	0.03434932	0.10746073	0.024076179	0.031699724	0.02768418	0.09445914	0.074478045	0.034110937	0.09262881	0.1524509	0.2933156	0.012428435
a23	0.022695573	0.03569975	0.1528246	0.025885433	0.039855	0.028632835	0.08412681	0.07258164	0.02144626	0.09426641	0.120322414	0.27853745	0.023125831
a24	0.012544868	0.020730276	0.1179477	0.022559099	0.04398244	0.029127741	0.11147661	0.08829665	0.043769613	0.1162866	0.064794645	0.27359536	0.05488844
a31	0.026036713	0.025526881	0.15906525	0.019848533	0.035839878	0.023995606	0.09017067	0.06665301	0.047415722	0.078466944	0.09690574	0.31174046	0.018334607
a20	0.013750029	0.0038659154	0.06872749	0.017526772	0.05025191	0.028535262	0.1519174	0.0678993	0.108607985	0.06670089	0.019179093	0.0498547	0.35318324
a3	0.017405909	0.0464961	0.06019483	0.039580844	0.03912099	0.042149022	0.06636335	0.05828794	0.15344687	0.042961948	0.13043524	0.29173815	0.011818762
a31	0.007802873	0.033080336	0.027088674	0.16213943	0.12676527	0.16275893	0.08957377	0.06563591	0.04423896	0.016156876	0.04965963	0.0813912	0.13370815
a13	0.0071501792	0.006240617	0.043859243	0.061162487	0.11568873	0.07772861	0.22301489	0.115595266	0.14718994	0.08737408	0.035335228	0.043221556	0.036439143
a31	0.012084481	0.06836161	0.04896848	0.1625123	0.11094251	0.15774183	0.11791259	0.07947003	0.05943346	0.017212713	0.059750862	0.07621296	0.029396173
