 	le	canzone	si	scrivono	alla	notte	</S>
a20	0.9606554	2.3612763e-05	0.003773396	0.03387713	0.0010486768	0.00062181696	2.1055241e-08
a31	0.060120437	0.00046792603	0.56089336	0.0044863936	0.12795077	0.22205321	0.024027897
a0	0.0021026153	0.0005711085	0.42936715	0.07122356	0.06334483	0.12318128	0.31020945
a20	0.7622953	0.0123154055	0.05026377	0.0037784858	0.060776696	0.0796578	0.030912513
a31	0.100695945	0.001290457	0.75059444	0.08619883	0.02731813	0.033543985	0.00035825232
a13	0.10852915	0.004545595	0.79733384	0.043472998	0.024771502	0.020109447	0.0012374069
a38	0.18102412	0.0010043199	0.04277361	0.52530044	0.062423456	0.18746854	5.507366e-06
a31	0.16856715	0.00063731585	0.00587434	0.53510994	0.072915934	0.2163436	0.0005517334
a20	0.7881949	0.00036463802	0.0028348982	0.021759978	0.039266266	0.12003245	0.027546959
a31	0.013446968	0.0033552768	0.010849715	0.2368004	0.12195952	0.5953894	0.018198648
a20	0.062200528	0.00404585	0.012984598	0.04105194	0.098422475	0.6595647	0.12172995
a33	0.019323185	0.06150824	0.093706906	0.22091392	0.1218515	0.4652339	0.017462367
a31	0.019130362	0.20931853	0.2283316	0.059025746	0.06662046	0.35246354	0.0651097
a28	0.017989576	0.019899052	0.051562846	0.04663159	0.013928864	0.09656261	0.75342554
a31	0.03926913	0.2569359	0.19786038	0.040233415	0.10942838	0.34897956	0.0072932267
a0	0.0052739726	0.08440609	0.07767875	0.09812002	0.014759759	0.22286254	0.49689892
a31	0.033695973	0.33444843	0.22276923	0.034841884	0.114502385	0.2557273	0.004014755
a3	0.0029360675	0.1487793	0.11249915	0.13480705	0.01571245	0.25400615	0.33125985
a31	0.03730084	0.3805484	0.2324424	0.03137794	0.12107891	0.19382405	0.0034274366
a46	0.0016912285	0.18765314	0.13469988	0.13888407	0.01583531	0.26400208	0.2572343
a31	0.049805712	0.34189433	0.2131534	0.029708622	0.14039905	0.22064982	0.0043890513
a39	0.0015377119	0.19529317	0.14968729	0.14858821	0.01604192	0.26219025	0.22666144
a35	0.068062924	0.2711159	0.18191569	0.0442477	0.1378439	0.28857562	0.00823824
a31	0.014227699	0.3434141	0.28584102	0.06155461	0.08182349	0.17537025	0.037768908
</S>	0.008934445	0.17646042	0.17672841	0.23578872	0.028158503	0.16657086	0.20735867
