 	non	avete	mangiato	mai	un	rustico	</S>
a23	0.0005085394	0.00012676293	0.0022521375	0.04968927	0.94742155	1.5394381e-06	5.6724517e-08
a31	0.040207483	0.03258801	0.23467082	0.06451878	0.62731606	8.135988e-06	0.00069071364
a29	0.0033837587	0.0073413188	0.04126805	0.21330458	0.7345059	1.05607705e-05	0.00018578717
a24	0.0948662	0.19921803	0.18219304	0.018362392	0.49469572	0.0106638605	6.569503e-07
a18	0.19447795	0.22615348	0.31881484	0.019703938	0.23114459	0.009684176	2.1001191e-05
a31	0.46938708	0.19654286	0.20377718	0.0077555487	0.12092024	0.0015946379	2.2468339e-05
a13	0.87772715	0.07190683	0.024333505	0.0016257593	0.021629151	0.00025976423	0.0025177381
a11	0.72399837	0.052470755	0.015129919	0.0067276126	0.16962217	0.031613994	0.00043726983
a8	0.11756599	0.072994865	0.117100775	0.08329518	0.51771665	0.08088798	0.010438581
a31	0.066784605	0.10029786	0.10279187	0.065968975	0.20439586	0.3908932	0.06886759
a24	0.04816224	0.019910151	0.05322503	0.09128076	0.30383876	0.08006936	0.40351373
a31	0.0546957	0.14335361	0.11332772	0.052973807	0.22665463	0.3985777	0.010416857
a39	0.003763243	0.0054222443	0.018334279	0.064471565	0.08486627	0.38580802	0.43733433
a20	0.06176052	0.17570892	0.13963076	0.06510384	0.18639217	0.36454135	0.006862391
a31	0.0065584187	0.03294222	0.07134192	0.09768911	0.101465985	0.60136735	0.08863493
a20	0.0076362453	0.009934173	0.034807853	0.12934864	0.13537121	0.33807462	0.34482723
a31	0.035754714	0.13480121	0.11709174	0.061448824	0.14576857	0.49464148	0.010493405
a46	0.0010754081	0.0027200663	0.010737603	0.06559129	0.025968835	0.46008873	0.4338181
a31	0.060668573	0.14317483	0.09403394	0.046343762	0.12365378	0.52366203	0.008463079
a23	0.0009833685	0.0034781	0.015181246	0.08538698	0.03257939	0.5871763	0.27521458
a31	0.060817942	0.119525775	0.0800107	0.042184502	0.09719316	0.59156406	0.0087038865
a46	0.0029324791	0.010211252	0.030091612	0.086228885	0.057601765	0.633148	0.17978597
a8	0.07265127	0.101241276	0.07236196	0.043390512	0.13064338	0.56892854	0.01078306
a31	0.02131214	0.083332755	0.09297089	0.07058517	0.114082694	0.5634811	0.05423529
a38	0.011581006	0.02743179	0.07786225	0.14959499	0.14618255	0.38550565	0.2018418
a20	0.051782407	0.10976568	0.07996267	0.04625364	0.09801044	0.5999352	0.014290004
a31	0.01812929	0.055864684	0.07183041	0.06865109	0.09496665	0.4996462	0.1909117
a20	0.001317609	0.0030539185	0.013757621	0.06461138	0.027759371	0.2905449	0.5989552
a31	0.04622397	0.10678346	0.07548265	0.042545956	0.08659319	0.6328286	0.009542213
</S>	0.0008814864	0.0033110466	0.015704237	0.0827043	0.029054355	0.49625316	0.3720915
