 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a23	1.9933208e-07	1.5413195e-09	2.5857383e-07	6.4954547e-06	0.00022299272	0.9942332	0.0002737341	0.0052631334	1.9743729e-09	1.3709995e-11
a31	0.012110014	0.020525634	0.057747897	0.18183671	0.71718544	0.00013953276	0.00018118566	0.009878506	0.00015905505	0.00023614033
a13	0.0031444246	0.003153757	0.026580572	0.09568057	0.7971727	0.00027461175	0.00021141444	0.061759345	0.011240146	0.00078235177
a37	0.0029473966	0.005621282	0.015310847	0.019175135	0.23627166	0.42411986	0.20071764	0.09580297	3.322481e-05	8.160992e-09
a31	0.009636504	0.026562998	0.03858022	0.06252884	0.6319394	0.045666	0.034694508	0.15033522	5.3166033e-05	3.0584583e-06
a39	0.095543355	0.039480723	0.07178757	0.07596473	0.68225974	0.0053785746	0.0023494214	0.027114268	0.00011413197	7.4860745e-06
a20	0.024642639	0.25069356	0.040719397	0.0051042642	0.028200064	0.4181168	0.2289609	0.003413719	0.00014849639	8.889061e-08
a31	0.04275901	0.75594926	0.075562075	0.00953371	0.03542588	0.05558054	0.021345533	0.0030400336	0.00069581554	0.00010824466
a0	0.0118808085	0.9149661	0.024121104	0.01431251	0.022605903	0.0058693658	0.0031230794	0.0008467009	0.0005989785	0.0016753626
a31	0.030525027	0.2439177	0.046455175	0.067318656	0.22902037	0.087240815	0.04635278	0.22920801	0.019602474	0.00035901222
a20	0.004410776	0.40117717	0.0543824	0.09930328	0.1515071	0.0724409	0.06596057	0.08004096	0.020813635	0.0499633
a24	0.03625319	0.13000292	0.047216024	0.0855489	0.24435416	0.10583818	0.049825244	0.2590721	0.04131408	0.0005751946
a31	0.036840312	0.11983991	0.06910102	0.12779222	0.29313698	0.047298532	0.027255634	0.20722777	0.06565638	0.0058512385
a10	0.0025842637	0.30433843	0.051644307	0.06422277	0.1123955	0.09820492	0.08025105	0.070745416	0.05839728	0.15721601
a27	0.03161056	0.102053635	0.05193736	0.10903361	0.18568991	0.19862092	0.067847185	0.16691542	0.08451969	0.0017717794
a37	0.04885145	0.12881412	0.11277555	0.1891042	0.18658772	0.07360049	0.024097694	0.07648334	0.151822	0.007863416
a31	0.013340834	0.08268065	0.049964465	0.1045261	0.07782883	0.1823788	0.077888876	0.13448626	0.24683882	0.03006642
a18	0.0014840276	0.06465498	0.022376487	0.039368127	0.052929983	0.14967613	0.071352564	0.05358792	0.23460981	0.30995998
a11	0.030884864	0.07390958	0.06280441	0.14501435	0.07311379	0.26705572	0.04899786	0.07544282	0.21651831	0.0062582986
a31	0.009249973	0.028356947	0.04180606	0.17213613	0.035847265	0.1840366	0.02788519	0.033189207	0.3302572	0.13723536
a28	0.0014278012	0.021151062	0.01581798	0.03926932	0.031018186	0.14195196	0.049257558	0.040337097	0.45289528	0.20687382
a31	0.026074637	0.056130886	0.07055805	0.19362879	0.04151979	0.21608002	0.029822143	0.029751018	0.32673326	0.009701431
a20	0.00060300174	0.0024279577	0.0030428607	0.017835984	0.0060796677	0.11928071	0.029051915	0.04167996	0.3364013	0.44359666
a3	0.029140862	0.06551923	0.07200529	0.15984535	0.027182752	0.26221347	0.037582148	0.027979428	0.31336832	0.0051631248
a28	0.010649209	0.027677678	0.05711896	0.1735277	0.017606657	0.075050235	0.01100144	0.013081205	0.35532334	0.25896356
a20	0.013256846	0.06788143	0.066210754	0.06985116	0.006001057	0.19926935	0.035235964	0.033326406	0.4742132	0.034753803
a31	0.0033108643	0.016388554	0.028162932	0.028601244	0.0013711116	0.039665077	0.0062336093	0.01740689	0.46839345	0.39046627
a46	0.0004464495	0.0030352515	0.002647955	0.010176306	0.0058351345	0.056413114	0.013441162	0.017165696	0.2659322	0.6249067
a23	0.020376574	0.06162185	0.06698501	0.08665294	0.008799876	0.17013079	0.025349207	0.034073707	0.5172206	0.008789392
</S>	0.003674367	0.0071590673	0.016428761	0.09401364	0.00478582	0.05116485	0.00906924	0.0138603905	0.46540713	0.3344367
