 	non	ci	dimentichiamo	mai	</S>
a31	0.020378431	0.2575748	0.65953875	0.062507965	6.395199e-09
a20	0.005173718	0.014521104	0.21966033	0.7602009	0.00044399968
a31	0.5941397	0.24245891	0.0043993704	0.15894598	5.6009412e-05
a11	0.0027423862	0.1758348	0.27794957	0.543473	2.4185445e-07
a20	0.9241866	0.05373735	0.0017875828	0.02028182	6.7537558e-06
a31	0.392793	0.2644777	0.1352837	0.2066824	0.00076321495
a11	0.05906231	0.19223452	0.044446435	0.5682463	0.13601041
a31	0.2581873	0.28693402	0.17595984	0.2749445	0.0039743413
a18	0.01043128	0.0829582	0.032179933	0.23877731	0.63565326
a42	0.1547687	0.30212662	0.23845313	0.29530162	0.009349803
a31	0.0025734552	0.03329358	0.018740354	0.08563637	0.85975623
a18	0.012592037	0.101061866	0.060129978	0.13808316	0.68813294
a31	0.0688722	0.34749493	0.19223613	0.3733687	0.01802803
a39	0.0006813494	0.13308801	0.063923456	0.24531718	0.55699
a31	0.07761944	0.35607228	0.20492256	0.3520189	0.0093668215
a20	0.0003094473	0.12240594	0.06775135	0.2720285	0.5375048
a39	0.055680785	0.37203917	0.1539703	0.4069886	0.01132112
a31	0.01455675	0.30233347	0.20256461	0.4039564	0.07658878
a14	0.0004891307	0.048468642	0.038267694	0.10681256	0.80596197
a46	0.046184894	0.3767144	0.16019368	0.40470353	0.012203501
a20	0.009124978	0.32103044	0.19073424	0.40166068	0.077449635
a31	0.003086229	0.34010628	0.1343148	0.4160559	0.106436834
</S>	0.00023695093	0.015565171	0.01216141	0.010203961	0.9618325
