 	non	mi	aspetti	non	vengo	</S>
a33	0.16748819	0.8308301	6.1066935e-06	0.001090171	0.00058547163	8.979422e-09
a31	0.0036479325	0.0008981281	0.0018459279	0.14742053	0.22322027	0.6229672
a37	0.00017217622	0.0016194262	0.08424034	0.68356085	0.0416537	0.18875349
a35	0.14338826	0.666681	0.0033199007	0.031604227	0.14061823	0.014388386
a31	0.12145514	0.19372231	0.2593315	0.273967	0.15127471	0.00024936403
a7	0.6363649	0.3567516	0.0007455122	0.0007408892	0.0053492705	4.794362e-05
a18	0.5101989	0.28658432	0.047175642	0.03237865	0.122888185	0.0007742614
a24	0.45200992	0.08747917	0.1297382	0.09719898	0.20968401	0.023889704
a31	0.10865954	0.08641562	0.142911	0.13343742	0.5085059	0.02007051
a20	0.027560793	0.023112055	0.036093056	0.0707764	0.64347833	0.19897941
a8	0.009184674	0.021572834	0.041885786	0.1944405	0.6895049	0.04341131
a31	0.006209412	0.016843442	0.032006506	0.08035136	0.791074	0.07351527
</S>	0.0060370895	0.006799678	0.017855354	0.023131574	0.1103501	0.83582616
