 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.08879974	0.0020256443	6.1624604e-08	0.0033643506	0.002535702	0.07345963	0.82980007	1.4863977e-05	2.0529314e-09
a13	0.72365904	0.0055090548	0.00011834726	0.21462421	0.039695222	0.008322058	0.0040951082	0.0004997058	0.003477229
a0	0.94048846	0.0018570462	0.0058409735	0.032689627	0.0051488825	0.004238699	0.0053544636	0.002857427	0.0015244066
a31	0.2609829	0.0064428323	9.929959e-06	0.51741976	0.05810551	0.035378918	0.11130566	0.010353317	1.1542844e-06
a18	0.034487057	0.0030074494	2.0595979e-05	0.4872561	0.2433262	0.12850441	0.051349364	0.051928498	0.000120185076
a31	0.52129686	0.004988836	0.0006148308	0.16420996	0.070650145	0.08147376	0.1213514	0.03530133	0.00011293736
a28	0.56114846	0.0024206543	4.316301e-06	0.033932503	0.02032467	0.0019494254	0.0369108	0.34158957	0.0017195861
a20	0.33177942	0.008473544	0.0017316447	0.08952583	0.061118476	0.04219281	0.15712287	0.29543778	0.0126177315
a31	0.28283083	0.017874504	0.00059169816	0.09074968	0.17045954	0.030360902	0.07206191	0.32935274	0.0057181497
a7	0.6878576	0.0030970036	7.439145e-05	0.048467748	0.1373376	0.015599291	0.020292206	0.04226898	0.045005135
a38	0.12066284	0.13658985	0.018519562	0.11788621	0.33170444	0.0971901	0.13139053	0.04338533	0.0026710946
a24	0.041013714	0.02549271	0.07243605	0.10489236	0.0711378	0.046464067	0.3776705	0.20201996	0.05887285
a46	0.11615525	0.051743317	0.0657217	0.12624735	0.09812239	0.102757655	0.23537181	0.19234471	0.011535908
a31	0.075419694	0.033684563	0.047269415	0.07534852	0.06313897	0.055008717	0.16742323	0.4306756	0.052031264
a38	0.2300663	0.014021304	0.0008972864	0.10872974	0.5184004	0.015993103	0.031011831	0.045855578	0.035024468
a31	0.07655279	0.08442468	0.08640525	0.113863334	0.16079573	0.06354848	0.3064058	0.10207694	0.005926943
a13	0.05288795	0.049374998	0.0032644724	0.082571074	0.40281802	0.009523317	0.034698427	0.26629308	0.09856864
a31	0.063844405	0.0579431	0.26204285	0.11688932	0.060403965	0.07001677	0.30665508	0.058236014	0.0039684586
a8	0.017273923	0.030170694	0.0052533112	0.04812329	0.19967693	0.006499513	0.03930985	0.45431545	0.199377
a20	0.068762966	0.06408728	0.33243686	0.116760105	0.06231922	0.05645475	0.24149439	0.052362952	0.0053215288
a31	0.058234688	0.06203332	0.20727019	0.12006807	0.089791775	0.03679198	0.23022038	0.14733046	0.048259173
a15	0.037693128	0.10918569	0.013901048	0.10560717	0.46631742	0.015749894	0.04301278	0.12951519	0.079017624
a31	0.06565705	0.07954606	0.3894106	0.13095628	0.062257193	0.051259317	0.18436836	0.031273432	0.005271665
a20	0.01071734	0.07250147	0.037458066	0.038329456	0.15366988	0.0045033386	0.027686644	0.43939206	0.21574178
a39	0.07697463	0.07333829	0.44236138	0.13957034	0.04180709	0.07146079	0.13724153	0.013618226	0.0036278022
a31	0.030691862	0.055145126	0.3109659	0.11473157	0.05460818	0.016922109	0.11325339	0.15123218	0.15244965
a8	0.01885865	0.10794582	0.05446334	0.063884705	0.20226476	0.0083644	0.025314247	0.1924674	0.32643673
a31	0.073818885	0.07432981	0.46796644	0.118553765	0.04538611	0.056729905	0.13910644	0.018920043	0.005188704
a37	0.0039405306	0.039450034	0.047888435	0.018819492	0.064676136	0.0018905638	0.013909223	0.40620068	0.40322492
a20	0.083706565	0.08012146	0.5097546	0.11419529	0.03648511	0.066501886	0.09130238	0.011814921	0.0061177663
a8	0.02730116	0.046675064	0.26026496	0.110644884	0.044641923	0.017096322	0.10817161	0.16564874	0.21955527
a20	0.0718313	0.08140217	0.28657848	0.10074616	0.071667336	0.032478694	0.15033641	0.17352638	0.03143306
a31	0.038619127	0.06949295	0.13137293	0.06786954	0.06897596	0.014153087	0.059126478	0.3732507	0.17713922
</S>	0.0027013884	0.025229977	0.01820144	0.009296147	0.037784435	0.0012843942	0.0048104576	0.17401141	0.7266804
