 	e	che	cucino	</S>
a31	0.99421656	0.0057188524	1.2275277e-05	5.2290692e-05
a24	0.9870166	0.012980258	3.4519896e-09	3.041837e-06
a31	0.9923481	0.007651922	1.9409575e-10	2.2646889e-08
a11	0.99947983	0.0005200334	1.6080388e-09	1.5406933e-07
a46	0.9985312	0.0014687539	9.0213664e-10	4.386457e-08
a41	0.9868563	0.013109216	1.4999432e-06	3.2952743e-05
a20	0.8612927	0.1338244	0.0016510077	0.0032318812
a36	0.504138	0.33659673	0.104803555	0.05446163
a31	0.2146622	0.19123794	0.39294422	0.20115557
a46	0.008542772	0.0031110442	0.0978552	0.890491
</S>	0.5826572	0.28583175	0.072333075	0.059177924
