 	non	sapeva	dove	a	stare	</S>
a20	0.81749874	0.018446838	0.13675451	0.027226226	7.352679e-05	1.4610093e-07
a31	0.003663288	0.0029729623	0.49360576	0.34347093	0.12931411	0.026972972
a37	0.015227572	0.006605617	0.24828666	0.58537316	0.056208976	0.08829801
a38	0.15825665	0.19171806	0.33890256	0.01709108	0.29385135	0.00018026738
a31	0.043829136	0.78413177	0.053638034	0.0045994497	0.11377968	2.1967024e-05
a41	0.05575329	0.90548366	0.017000575	0.0007945885	0.020967117	8.36799e-07
a10	0.146227	0.6868349	0.035633404	0.026508002	0.10471283	8.388113e-05
a20	0.36009952	0.5018898	0.06949859	0.027750446	0.040400695	0.00036093325
a9	0.1612947	0.4895715	0.1721468	0.097715184	0.07531729	0.0039544846
</S>	0.3611013	0.5614493	0.0496309	0.011289637	0.016380435	0.00014842565
