 	vestita	la	figlia	l	avevo	portata	alla	chiesa	</S>
a31	4.315954e-05	0.016357813	0.23458624	0.0053818133	0.007582163	0.40402904	0.07036871	0.26165107	9.186496e-10
a16	0.0004541173	0.039900046	0.13684434	0.009514927	0.17456348	0.6200576	0.010710987	0.007760134	0.00019442389
a31	0.168826	0.016479354	0.0056400197	0.10867188	0.3089645	0.05453932	0.1403129	0.19630757	0.00025848448
a24	0.00021329588	0.0024821917	0.002745019	0.0001436216	0.005658423	0.95340174	0.020538343	0.014811304	6.024712e-06
a28	0.045359466	0.009930907	0.02423961	0.03888005	0.03288365	0.06168984	0.13587566	0.65108263	5.8190486e-05
a31	0.12477569	0.4459091	0.050752554	0.038615067	0.026274405	0.07556277	0.075381115	0.16226813	0.0004612202
a41	0.00028283914	0.017246235	0.011391144	0.016218089	0.072002515	0.8406331	0.02150773	0.018595593	0.0021226862
a31	0.1202117	0.10248647	0.025835453	0.046005566	0.06516718	0.05533025	0.39303043	0.19187734	5.557437e-05
a28	0.0022451482	0.013691003	0.008225203	0.019495456	0.0998073	0.7378391	0.018402388	0.058169313	0.042125065
a20	0.0987021	0.071427	0.019115921	0.03246519	0.06036911	0.044142984	0.2596528	0.41388854	0.00023637268
a46	0.098649204	0.10074177	0.021277407	0.047455873	0.12714112	0.056308296	0.20718896	0.3406695	0.0005678986
a11	0.21627045	0.14174917	0.040036906	0.07171265	0.12659736	0.07628552	0.15251085	0.17444836	0.0003887896
a46	0.105493	0.107147604	0.030896371	0.0651312	0.1723325	0.19484124	0.13077803	0.19038193	0.0029980573
a31	0.1725981	0.1393216	0.053175744	0.09157295	0.14546111	0.1638527	0.1350289	0.09727601	0.001712964
a17	0.011027029	0.037574973	0.02272633	0.0650649	0.20542678	0.3938988	0.029021736	0.058196593	0.17706287
a31	0.18118425	0.10650051	0.03012208	0.054293986	0.1039439	0.050483093	0.094904125	0.37518197	0.0033860924
a20	0.05124755	0.030630017	0.047498215	0.08598975	0.15764926	0.24051845	0.04451142	0.20447206	0.13748331
a31	0.3072526	0.16131507	0.04744947	0.08500405	0.13152295	0.035894815	0.052188694	0.17555651	0.0038158055
a13	0.19135614	0.025907876	0.073254004	0.1003016	0.12233496	0.08582278	0.024509566	0.29551363	0.080999404
a18	0.38391957	0.16298634	0.049072575	0.08782925	0.11408372	0.029902987	0.0358683	0.1329464	0.0033908808
a13	0.36300787	0.13880162	0.07634243	0.155243	0.19759932	0.028462533	0.012592593	0.024728317	0.0032223174
a31	0.442642	0.17822583	0.02538987	0.08377641	0.07232639	0.029288543	0.04216601	0.12463732	0.0015475684
a18	0.20874698	0.020608855	0.077664256	0.103624806	0.114129916	0.07044169	0.016559085	0.18916513	0.19905926
a3	0.5016097	0.15535273	0.04668336	0.09491527	0.09355311	0.026464518	0.016453924	0.059027083	0.005940327
a0	0.43019813	0.09548427	0.07525225	0.15776898	0.18855646	0.023894899	0.0085379975	0.015758805	0.004548094
a20	0.48291698	0.11395942	0.06345239	0.10907223	0.10155825	0.035642624	0.012229543	0.07486851	0.0063000345
a31	0.5266641	0.11198054	0.03659479	0.11080113	0.12200684	0.03826057	0.011553656	0.027968181	0.014170193
a13	0.12870505	0.02122873	0.09930448	0.13284326	0.15968418	0.12172442	0.02947689	0.13982934	0.1672037
a31	0.56436366	0.14872867	0.03845465	0.094875686	0.06793767	0.023593487	0.013852361	0.04306962	0.005124153
a20	0.34005833	0.017174756	0.11159195	0.14178854	0.10661408	0.056201044	0.01068024	0.07039076	0.14550024
a13	0.5709174	0.11562851	0.05863766	0.106279686	0.079081796	0.022788472	0.007675594	0.03329599	0.005694946
a20	0.60754985	0.13235247	0.018049842	0.11458927	0.072771475	0.021004573	0.013360279	0.01225242	0.008069779
a31	0.47854617	0.109690815	0.04434143	0.1062884	0.13343996	0.04855402	0.013936954	0.056704123	0.008498166
a17	0.17141017	0.019748146	0.101601265	0.13227198	0.13148654	0.08714619	0.021051161	0.12851521	0.20676939
a20	0.5780267	0.1197656	0.0576278	0.10333742	0.07958325	0.022255886	0.0071713347	0.026523916	0.0057080775
</S>	0.59382033	0.08519111	0.03993385	0.120536305	0.1098987	0.021706888	0.0075495383	0.01404055	0.00732267
