 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	2.5012628e-06	6.809156e-08	1.6524435e-05	3.3929143e-06	0.0066014645	0.0028262008	0.009311107	3.4356224e-05	0.5289564	0.4522479	2.7860457e-11
a31	0.00683724	0.014720356	0.023130594	0.023250572	0.49314144	0.33127278	0.02197558	0.06968832	0.009392754	0.0062597524	0.00033060412
a20	0.009600117	0.0046671764	0.026334116	0.058403533	0.4193725	0.34640625	0.018659586	0.015059115	0.06886414	0.031576145	0.0010573663
a13	0.0061098547	0.009700362	0.009662484	0.015459723	0.04880617	0.12687561	0.39009857	0.018425282	0.1489702	0.22588858	3.1269446e-06
a37	0.0047053555	0.0066092596	0.011362581	0.0022173638	0.027208872	0.058236554	0.47023234	0.2855452	0.03240371	0.1013997	7.914443e-05
a31	0.0089241285	0.068022236	0.051094413	0.004730017	0.03816468	0.058319576	0.45556676	0.2747676	0.014625294	0.025326215	0.00045898088
a43	0.11817808	0.29014954	0.06601985	0.016852818	0.17162928	0.108871624	0.064232305	0.12687449	0.02326079	0.013528176	0.00040301523
a31	0.17515276	0.06356527	0.010638617	0.0049844678	0.050387412	0.10940337	0.41344547	0.09323215	0.032222226	0.04696575	2.6077305e-06
a24	0.022392852	0.00558037	0.00063790806	0.0004466014	0.035097	0.08237914	0.5003855	0.32016304	0.0048656026	0.016422773	0.011629236
a7	0.059162907	0.049108233	0.017245976	0.0075807474	0.017580884	0.06204104	0.098720975	0.034727372	0.3084149	0.3453794	3.7597416e-05
a31	0.025206264	0.034965985	0.021030586	0.008658722	0.015434197	0.081988506	0.09958597	0.04088376	0.35756233	0.31368348	0.001000177
a13	0.010121762	0.0057253875	0.006392597	0.006209236	0.096295714	0.3341897	0.366534	0.10677826	0.009894067	0.016256604	0.04160261
a28	0.042567506	0.04489313	0.035068173	0.015615936	0.01543946	0.05070641	0.07197021	0.023015365	0.40501735	0.29560012	0.00010638604
a20	0.024788165	0.029147716	0.024189968	0.010997288	0.01329906	0.052496154	0.082430206	0.031069228	0.38216224	0.34837243	0.0010475699
a31	0.025518518	0.0277946	0.016389675	0.010976527	0.01693745	0.054190174	0.07654946	0.04849657	0.2168217	0.5055206	0.00080469437
a37	0.007859975	0.004254302	0.0066895685	0.007915074	0.057065614	0.23193304	0.30773365	0.09318769	0.016341312	0.043812934	0.22320688
a1	0.03125626	0.029801069	0.019437427	0.008738992	0.009640456	0.030976389	0.06833565	0.026353413	0.3734325	0.40145478	0.000573093
a28	0.0818024	0.083150916	0.09498746	0.044697244	0.03351535	0.07185086	0.036944978	0.015082695	0.31693166	0.22031136	0.0007251445
a1	0.021027429	0.01597567	0.01936837	0.018644994	0.025517639	0.061719276	0.13336551	0.072148025	0.18422787	0.44400963	0.0039956043
a28	0.050071932	0.039910235	0.050457936	0.039913658	0.03928503	0.065106	0.04751262	0.025416914	0.2306021	0.40787372	0.0038498759
a31	0.023384642	0.01186992	0.03214693	0.04149059	0.049216863	0.0863164	0.11935924	0.054057613	0.14623962	0.3932583	0.042659834
a20	0.012068545	0.0056415526	0.014556448	0.029095722	0.06829947	0.177381	0.30186555	0.10369155	0.044772796	0.049516458	0.193111
a31	0.04440615	0.02945494	0.06499738	0.046799466	0.04326195	0.077544674	0.09331962	0.028813181	0.24270475	0.30914694	0.0195509
a20	0.0050157616	0.0031436724	0.0140039325	0.055211566	0.06874928	0.067884885	0.041489225	0.017304609	0.034914996	0.12752943	0.56475264
a31	0.06065934	0.036393635	0.107572354	0.09748902	0.08175424	0.10819649	0.07395966	0.02768926	0.15842353	0.23094638	0.016916158
a8	0.0035107494	0.003096583	0.016936291	0.10201406	0.10332978	0.064044416	0.015280481	0.009093964	0.022646494	0.08300977	0.5770374
</S>	0.06414238	0.04041724	0.14987822	0.15345739	0.1256108	0.14011504	0.062007163	0.024495086	0.08536426	0.1425227	0.011989739
