 	io	dopo	torno	vecchia	vendo	mia	casa	che	ho	Venezia	a	Venezia	e	vengo	da	vivere	qui	a	Kalimara	</S>
a8	1.115235e-07	4.5124094e-07	2.6164396e-06	4.097213e-07	4.4832044e-10	2.6914536e-06	2.5278141e-05	0.00027793035	0.00037663136	0.00020118534	0.0059917844	0.00021603104	0.007813571	0.00023901809	0.0011599718	0.9822624	5.414331e-06	0.0010014651	0.00042305014	1.547114e-12
a37	0.0005927096	0.5234564	0.043984104	0.00082631153	0.00026367226	0.007151771	0.011352404	0.08072413	0.03052256	0.013483448	0.046476346	0.009617374	0.04982201	0.076898284	0.010693021	0.089655116	0.00026519204	0.000794637	0.0025307373	0.00088978873
a31	0.004774402	0.82930005	0.03335801	0.0006090762	0.00020967337	0.00654258	0.0043171234	0.016393807	0.0028292225	0.023597268	0.0077270437	0.016840154	0.0071176453	0.017328255	0.0010628968	0.021649258	9.730726e-05	0.002011407	0.0028810783	0.0013538144
a29	0.003971791	0.00663669	0.00091524015	0.00020228545	2.8139432e-06	0.00815766	0.027473668	0.079465896	0.065152146	0.010928411	0.09889823	0.004855668	0.04633627	0.025149886	0.013255827	0.08965789	0.012294322	0.37651548	0.1044572	0.025672719
a1	0.03734768	0.024124103	0.06298843	0.006144715	0.0036455223	0.033039365	0.060018178	0.06779601	0.0067565767	0.41338578	0.013934824	0.09065872	0.011659853	0.008237894	0.00018883611	0.14696163	0.00010538742	0.0037267874	0.009277142	2.5353852e-06
a39	0.002227556	0.053105082	0.094425425	0.0072595594	0.0012548557	0.059837904	0.11171971	0.1457311	0.028408367	0.045440517	0.06336897	0.033802148	0.022698494	0.033111785	0.0059710382	0.26068527	0.0011700412	0.015656188	0.013964299	0.00016172095
a3	0.023171585	0.07199043	0.049063746	0.0048561366	0.0007585485	0.021170104	0.09542418	0.15809676	0.025811763	0.13200676	0.073460914	0.08116847	0.03585116	0.025319638	0.0054806643	0.19080742	0.0002447805	0.0021927478	0.003070556	5.358823e-05
a20	0.006199967	0.0051607564	0.0026453428	0.00039916963	7.647318e-05	0.0015799709	0.012008866	0.053128548	0.014025168	0.3881391	0.021693837	0.29882744	0.021559672	0.05780865	0.015867466	0.09898235	0.0004624897	0.001018708	0.00041570654	3.1447507e-07
a8	0.007664294	0.002554426	0.0015368701	0.00063664996	0.00015092436	0.0012350241	0.0074753608	0.028785225	0.012143068	0.38298693	0.013371649	0.38724267	0.015639005	0.038574364	0.026259823	0.07161063	0.0010008152	0.0009498672	0.000182345	7.689155e-08
a17	0.040833734	0.0051118406	0.0006013052	0.00041853133	0.00019309921	0.00067085854	0.0021837596	0.008272268	0.0064969775	0.40230235	0.0066986	0.44647923	0.007918461	0.014597868	0.027883405	0.02379757	0.0013308645	0.0037677991	0.00044046796	1.0000148e-06
a31	0.09189124	0.005751506	0.00029724697	0.0002920155	0.00015190449	0.0005458654	0.002086283	0.010742692	0.011636574	0.34779248	0.015752733	0.38742095	0.017486501	0.02112112	0.050792888	0.02493589	0.002744149	0.005890654	0.0026629462	4.3639834e-06
a10	0.056362428	0.04815799	0.00041862015	0.0004485754	0.00012788079	0.0026097698	0.013127947	0.039431725	0.032460023	0.19327463	0.042562835	0.38505915	0.048474193	0.03550382	0.04793793	0.030725908	0.015351128	0.0006106789	0.0072436314	0.00011114249
