 	se	si	era	vestito	la	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.046873294	0.04655515	0.04638461	0.046415746	0.04693198	0.053814672	0.060055334	0.06593454	0.08009005	0.11130241	0.1887459	0.20689632
a20	0.071680434	0.063982956	0.050370302	0.06294488	0.06377061	0.12528382	0.12808613	0.124372885	0.11377534	0.07303287	0.073256336	0.049443427
a37	0.06342224	0.052042745	0.029491667	0.052797306	0.07295262	0.119954266	0.12719804	0.13743255	0.17114562	0.05855439	0.06120254	0.05380603
a24	0.1219667	0.10123484	0.044786904	0.06950145	0.08940281	0.11096844	0.10151526	0.104597524	0.10556436	0.05430646	0.050224546	0.045930732
a31	0.077482775	0.06940731	0.042044345	0.06506055	0.082759984	0.11119266	0.11391738	0.12121391	0.13163802	0.07155303	0.06658198	0.047148056
a39	0.11172544	0.088573	0.04300733	0.08085521	0.10666494	0.09405066	0.08500112	0.09128603	0.09912946	0.073547736	0.06987139	0.05628768
a31	0.11524585	0.09313708	0.05115713	0.0835352	0.10386963	0.09828944	0.08649118	0.084702924	0.0909477	0.0776771	0.07770431	0.037242446
a24	0.10040591	0.084876046	0.047258362	0.07178855	0.098846555	0.09845166	0.088794574	0.09225106	0.11578276	0.08012215	0.07340123	0.048021194
a31	0.11006779	0.085766986	0.05400457	0.08632442	0.116746806	0.112937614	0.103460506	0.097641416	0.09708132	0.051819146	0.05057765	0.03357175
a28	0.10414976	0.092702754	0.05437376	0.06209492	0.0853889	0.09137343	0.08591166	0.09159917	0.12295568	0.088357806	0.0794754	0.041616783
a24	0.11207811	0.08758226	0.06154765	0.10394341	0.1305802	0.11001105	0.08913554	0.074217044	0.0774605	0.06011843	0.05539728	0.0379285
a8	0.11841463	0.093392186	0.05659765	0.06280738	0.10597389	0.111917175	0.10829305	0.10952424	0.10031294	0.044650733	0.047194254	0.040921874
a31	0.06861528	0.06573287	0.054628182	0.05021153	0.065462895	0.09967686	0.1089271	0.11357349	0.10774612	0.105779864	0.101612404	0.05803339
a46	0.11524718	0.09538039	0.07542077	0.06919203	0.07434072	0.10079133	0.09188087	0.08526848	0.08811942	0.08510598	0.07718177	0.0420711
a8	0.11344973	0.09875778	0.060709864	0.06013521	0.094408885	0.09951506	0.09484674	0.09927869	0.12358205	0.057211824	0.0617859	0.036318276
a28	0.059573036	0.057578374	0.044297487	0.03251754	0.041677278	0.08255029	0.10381678	0.12459009	0.10183903	0.12258121	0.14158061	0.08739826
a31	0.041437346	0.04069759	0.038952466	0.044359423	0.058042068	0.08384936	0.087397054	0.092724495	0.112980746	0.11966075	0.16550626	0.11439248
