 	mia	sorella	quest	anno	che	vienne	studierà	per	medico	</S>
a10	0.08518115	0.08445202	0.08207069	0.082955554	0.08459369	0.083923005	0.08435191	0.13603655	0.16182372	0.11461175
a31	0.09837759	0.08123552	0.1089316	0.16252406	0.14780104	0.06652942	0.06129539	0.07675562	0.11876315	0.077786595
a1	0.2635052	0.12253601	0.122808866	0.1387831	0.105119705	0.07458715	0.047253475	0.054125696	0.038875163	0.032405656
a28	0.13541	0.09652724	0.14433692	0.18634675	0.16680442	0.064068235	0.04106524	0.05119039	0.051564634	0.06268613
a24	0.22026171	0.1420912	0.11271744	0.13866964	0.1566623	0.06281753	0.032860335	0.042745195	0.03875545	0.05241924
a31	0.18160409	0.12069393	0.121051386	0.13360395	0.18050581	0.080347925	0.038731713	0.04249146	0.048119754	0.052849986
a18	0.21518786	0.097857416	0.14874282	0.1441483	0.12364818	0.07331794	0.056670833	0.05238259	0.043462638	0.044581458
a24	0.15848248	0.10658491	0.14447689	0.14528325	0.17324948	0.065741256	0.047664277	0.04932908	0.053644367	0.055544093
a13	0.15541656	0.088232055	0.13764636	0.15200615	0.14134775	0.07363145	0.06298282	0.061853997	0.060698245	0.06618449
a18	0.14520784	0.11465553	0.14332555	0.15528202	0.17539579	0.062460084	0.0461084	0.049056765	0.046379343	0.06212865
a31	0.15181556	0.10133536	0.1480822	0.1552888	0.18271746	0.06634052	0.04476672	0.047291916	0.04806182	0.05429957
a24	0.1558056	0.08406432	0.16365138	0.15144026	0.12969996	0.07399805	0.06328967	0.062203187	0.05802028	0.05782731
a11	0.15284853	0.09023096	0.14260775	0.14637844	0.14112537	0.06288263	0.06554086	0.067677006	0.058993656	0.07171482
a31	0.17220494	0.11236362	0.14382455	0.14570013	0.15107901	0.062143832	0.050070524	0.052230123	0.04983201	0.06055136
a39	0.14717904	0.08314536	0.16185777	0.15084162	0.12522201	0.06892266	0.067850985	0.06742805	0.062972285	0.064580224
a20	0.16340296	0.09246335	0.1482043	0.14101423	0.12526311	0.06080306	0.06721026	0.06899045	0.061602123	0.07104616
a31	0.18564339	0.12059553	0.14302002	0.13686378	0.14609061	0.05653412	0.049205538	0.05249413	0.047908377	0.061644454
a17	0.16980115	0.10306478	0.13859133	0.13548884	0.12805267	0.07141771	0.06350925	0.064545505	0.062190007	0.063338816
a20	0.18964502	0.12247828	0.13048129	0.13831104	0.14092012	0.053369213	0.050559618	0.056411844	0.045700233	0.07212342
a31	0.18330193	0.13807404	0.11921257	0.122524016	0.18474999	0.07188047	0.039277446	0.0416567	0.050080847	0.04924196
a24	0.15948227	0.10637175	0.12854807	0.13264653	0.13295922	0.07847693	0.06563476	0.06631193	0.066438936	0.063129604
a20	0.19275087	0.15119465	0.10117585	0.12047744	0.15432356	0.079388626	0.03925917	0.043054592	0.048774377	0.06960091
a8	0.17346442	0.13551758	0.1251664	0.12590821	0.18848734	0.06790124	0.037421457	0.040387683	0.047540102	0.05820559
a20	0.15791292	0.1272633	0.1319891	0.16159941	0.16333297	0.07810186	0.03369291	0.03402549	0.04552796	0.06655411
a31	0.13589458	0.10730469	0.1295136	0.16757104	0.19435613	0.072779514	0.037697103	0.042644866	0.05790373	0.054334767
a24	0.15444717	0.11259651	0.117629066	0.1310224	0.14159295	0.07287614	0.0659	0.070225954	0.060879424	0.07283031
a37	0.16724874	0.15516418	0.09658188	0.11614925	0.13055353	0.101196	0.04049735	0.050631832	0.07623375	0.065743476
a46	0.16619535	0.14388514	0.10549228	0.1329631	0.19464266	0.07944186	0.031257123	0.03417541	0.05174687	0.060200218
a31	0.17496575	0.15298253	0.11572061	0.12883805	0.13754903	0.10057692	0.037039492	0.035378724	0.05612436	0.060824502
a28	0.17992912	0.14098805	0.0908048	0.11638811	0.1536821	0.074270435	0.047407903	0.05649206	0.06250657	0.077530734
a24	0.16463475	0.1570591	0.092379004	0.09828203	0.12886247	0.10670118	0.03895072	0.056667667	0.09661442	0.059848692
a31	0.16514616	0.15887268	0.08637006	0.10282346	0.14205475	0.12208133	0.03728195	0.04353369	0.0851004	0.056735575
a17	0.18123864	0.13872585	0.088410184	0.11507954	0.15436247	0.076229036	0.04808555	0.05649504	0.063221596	0.078152105
a31	0.16217716	0.15448688	0.09521328	0.097064726	0.121297	0.11560641	0.043205116	0.059740227	0.09748825	0.053720973
a46	0.19309235	0.15260544	0.08005793	0.11514257	0.13441136	0.07948547	0.045044087	0.051892225	0.06414644	0.08412219
a8	0.15864603	0.15191853	0.08919603	0.08889433	0.117453285	0.11695316	0.04643828	0.06532869	0.10877462	0.056397054
a31	0.16015352	0.15314707	0.08012719	0.083777376	0.12747732	0.12465271	0.04572268	0.055386376	0.11394731	0.055608444
a8	0.18795215	0.16432768	0.087625735	0.10733979	0.12004717	0.08409102	0.04885596	0.052854057	0.0633157	0.08359075
</S>	0.15745628	0.1492445	0.089007966	0.08546521	0.10969206	0.1134859	0.051078543	0.070787825	0.11317903	0.06060274
