 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.08467432	0.082015686	0.07538359	0.06114964	0.11967415	0.16541363	0.19551162	0.21617739
a31	0.028173115	0.020095954	0.018613188	0.038710993	0.07548112	0.19172238	0.32457873	0.30262455
a13	0.29263037	0.12524366	0.09782438	0.10877956	0.08362214	0.09423254	0.103345074	0.09432229
a20	0.07172741	0.06601799	0.07873627	0.10408518	0.106857166	0.13782799	0.21756999	0.21717794
a15	0.15148367	0.1800055	0.121068805	0.10595247	0.076727	0.10140292	0.13580836	0.12755127
a20	0.088727415	0.1041974	0.11096329	0.11078147	0.13253468	0.13340613	0.15992478	0.15946485
a31	0.20945774	0.19816437	0.12788092	0.11865366	0.071275026	0.07900458	0.09871654	0.09684717
a39	0.16707873	0.13853152	0.13281995	0.14676224	0.10240353	0.102563396	0.105495244	0.10434538
a31	0.14560805	0.11716156	0.09438945	0.14564747	0.10596224	0.1074689	0.14130247	0.14245991
a20	0.15081544	0.11934887	0.116752595	0.17345524	0.11059451	0.10797042	0.112405196	0.10865778
a31	0.15330537	0.09363495	0.083175376	0.1552046	0.10991926	0.10822575	0.14581361	0.15072109
a7	0.15321712	0.10076999	0.121806964	0.16665457	0.11433974	0.11274365	0.11963149	0.11083649
a46	0.11663873	0.08253102	0.039764773	0.09590141	0.11715018	0.14604695	0.19919524	0.20277166
a39	0.11457436	0.091192126	0.038875196	0.09021812	0.111120015	0.14793734	0.20526059	0.20082228
a31	0.14528717	0.08215502	0.047083333	0.10180007	0.098776765	0.13379332	0.19716927	0.19393505
a46	0.25986552	0.09702108	0.11693248	0.13550478	0.085355364	0.0911388	0.10872085	0.105461106
a0	0.08517012	0.06808352	0.034796536	0.053752325	0.094714336	0.18774895	0.23815727	0.23757689
a27	0.07950309	0.050017465	0.030147653	0.031074379	0.07214623	0.18061072	0.27048716	0.28601328
a20	0.077226296	0.0481224	0.02832634	0.03746302	0.07160412	0.17252408	0.26976892	0.29496485
a0	0.07872585	0.050566025	0.02081975	0.044151325	0.07297209	0.17727496	0.2638988	0.29159123
a14	0.09180736	0.05599447	0.03168247	0.04409456	0.086479895	0.17294306	0.24850848	0.26848972
a0	0.08024722	0.050141998	0.020774964	0.047041282	0.08045273	0.18159913	0.25578317	0.2839595
a46	0.10050723	0.061497528	0.03432839	0.04466267	0.08861642	0.17209211	0.24163096	0.25666475
a20	0.10327347	0.06474819	0.034948356	0.030006863	0.05716377	0.16353792	0.26888847	0.27743298
</S>	0.08691333	0.06756159	0.024650635	0.024250371	0.06555089	0.2008546	0.26391438	0.2663042
