 	io	voglio	che	Maria	venga	qui	</S>
a31	0.068702154	0.10641634	0.119618714	0.1273116	0.18345134	0.19725229	0.19724758
a39	0.13774712	0.08838827	0.057899017	0.05986712	0.11325163	0.28617284	0.256674
a31	0.09325859	0.05765243	0.048684157	0.05071758	0.18372416	0.2812486	0.28471446
a37	0.18007883	0.07944956	0.070541956	0.08547573	0.1781721	0.2058679	0.20041393
a31	0.104064114	0.052884664	0.06236456	0.07561057	0.21844997	0.24811241	0.2385137
a11	0.10861653	0.06124343	0.071638845	0.07832596	0.22083248	0.23501298	0.2243298
a20	0.12835409	0.09267255	0.076000035	0.0759764	0.15287602	0.24689965	0.22722127
a4	0.14328703	0.10001467	0.083572805	0.08657766	0.14535949	0.21438709	0.22680123
a24	0.16507052	0.081768885	0.06817097	0.06942793	0.17094238	0.22349341	0.2211259
a31	0.12946367	0.052738648	0.044236742	0.0649271	0.23244539	0.24532282	0.2308656
a11	0.12660933	0.07038022	0.05780611	0.06733294	0.18018597	0.25963852	0.23804694
a24	0.12874235	0.071805134	0.06738768	0.07234677	0.15884678	0.23079565	0.2700756
a31	0.13315633	0.064862795	0.057628084	0.06705236	0.15740697	0.23488306	0.28501043
a46	0.18882465	0.11182682	0.08548139	0.08236721	0.10917886	0.20035657	0.22196458
a8	0.11956565	0.09381599	0.091648586	0.089040205	0.15845716	0.23105516	0.21641725
</S>	0.12175322	0.13329837	0.12270543	0.10240253	0.14155287	0.18685596	0.19143157
