 	Marika	tu	hai	mangiato	</S>
a8	0.13323146	0.14641589	0.21161489	0.24766341	0.26107436
a31	0.20451376	0.12992693	0.19675407	0.2448285	0.22397675
a24	0.5498746	0.2292778	0.09075976	0.071614645	0.058473155
a31	0.20423287	0.13950598	0.2009965	0.23321354	0.2220511
a28	0.4290799	0.22422846	0.13423969	0.11528166	0.09717036
a31	0.19383499	0.15021555	0.23712312	0.22830822	0.19051819
a3	0.4028313	0.18260443	0.13704687	0.15001594	0.12750146
a18	0.2280893	0.1277665	0.18571822	0.2379646	0.22046131
a31	0.19364014	0.13695204	0.18893713	0.24651457	0.23395613
a23	0.39067748	0.20420915	0.15561566	0.13933858	0.110159196
a31	0.20321271	0.14095241	0.19801562	0.21586314	0.24195614
a20	0.24210489	0.23069291	0.13196841	0.18662883	0.20860499
</S>	0.25412095	0.26083362	0.17203583	0.15768197	0.15532768
