 	hai	già	mangiato	</S>
a38	0.2315598	0.24862179	0.25798264	0.26183572
a31	0.23441873	0.276821	0.23782556	0.25093472
a20	0.31004456	0.23610264	0.23087804	0.22297478
a31	0.2728079	0.24450491	0.23235121	0.250336
a27	0.2449371	0.23411919	0.27268922	0.2482544
a31	0.22702362	0.19711584	0.23081075	0.3450498
a20	0.21147794	0.22190498	0.2769411	0.289676
a31	0.25798368	0.21410099	0.21969382	0.30822152
a39	0.22741988	0.19765352	0.24095537	0.33397117
a20	0.3281465	0.23687346	0.21753006	0.21745004
a10	0.36912787	0.23770732	0.20318271	0.18998204
</S>	0.34499118	0.23778331	0.21738376	0.19984177
