 	mi	sono	vestito	</S>
a39	0.35081556	0.29654506	0.21703905	0.13560028
a11	0.3806451	0.2714393	0.16049288	0.18742271
a13	0.34738618	0.21899804	0.19691756	0.23669824
a18	0.24986783	0.18359604	0.23855884	0.32797727
a31	0.25145796	0.20479888	0.250746	0.29299715
a37	0.25614554	0.2151453	0.24642873	0.28228042
a15	0.2584581	0.17433797	0.21794572	0.3492582
a31	0.2628467	0.18370955	0.16398393	0.38945982
a46	0.26881742	0.1707798	0.25274023	0.30766255
a31	0.39204964	0.2305231	0.13959588	0.23783143
a20	0.38505915	0.21022035	0.15109132	0.25362915
a31	0.5438037	0.22050597	0.12427883	0.11141143
</S>	0.43631542	0.23058188	0.14557214	0.18753053
