 	vado	trovando	un	forno	che	fa	pane	buon	e	non	so	dove	è	</S>
a31	0.044177733	0.04435994	0.04637027	0.047331024	0.04605658	0.044757675	0.044349946	0.04546259	0.06410299	0.07025673	0.0755192	0.13654478	0.15750037	0.13321011
a15	0.043742117	0.05878439	0.08431913	0.10443778	0.10058528	0.09245746	0.08460776	0.0854152	0.095598884	0.071637325	0.05467152	0.038220093	0.03686557	0.04865752
a20	0.020389615	0.04606637	0.051275223	0.076082416	0.08596812	0.076768234	0.06230834	0.05963614	0.08314983	0.08409478	0.09788219	0.046970654	0.10410928	0.10529876
a31	0.050097875	0.09455773	0.12192518	0.1069266	0.12981956	0.10931534	0.089332156	0.07728767	0.059756532	0.045290638	0.03585342	0.020682177	0.029172363	0.02998273
a39	0.04322513	0.12609327	0.12267281	0.11849362	0.12311927	0.09844496	0.07686077	0.0560734	0.049774688	0.04412893	0.04679134	0.027653383	0.035828557	0.030839799
a31	0.04820212	0.0899849	0.09629412	0.10639137	0.11642497	0.11755281	0.102939114	0.09144475	0.06163271	0.04191998	0.04638981	0.02441445	0.030119354	0.026289534
a15	0.046265043	0.09601616	0.100810975	0.1076561	0.12176597	0.11759664	0.09683411	0.075903624	0.055428248	0.04414294	0.049157187	0.025239218	0.035106607	0.028077228
a31	0.048718434	0.102122754	0.06488734	0.092894286	0.10379713	0.10774007	0.09356364	0.07446353	0.090279326	0.06710313	0.04669626	0.03853985	0.0322184	0.036975835
a18	0.0638421	0.0730627	0.07646717	0.10264333	0.11917322	0.11923999	0.1077906	0.07830321	0.06839301	0.04786374	0.04619635	0.030929413	0.03472631	0.0313689
a8	0.060305573	0.11154409	0.07081122	0.08284996	0.099949166	0.13690592	0.12278173	0.08863352	0.06272924	0.04203259	0.035260372	0.03212535	0.026071245	0.028
a31	0.0588443	0.0957135	0.07174048	0.063258015	0.08313221	0.08812738	0.08034584	0.08379155	0.096692055	0.08242255	0.064578846	0.03262217	0.049405206	0.049325965
a3	0.06857457	0.06902068	0.06614983	0.09433065	0.10981659	0.11585745	0.106626324	0.0740438	0.07363543	0.057228185	0.050858587	0.036589816	0.03769784	0.03957025
a31	0.06259168	0.10961148	0.07012256	0.07353182	0.09819602	0.13516235	0.11868575	0.0847709	0.06499287	0.0514305	0.037126504	0.031611927	0.027445126	0.034720443
a39	0.07664406	0.081271954	0.07319653	0.092539474	0.118969254	0.11764255	0.10226299	0.06580441	0.06470196	0.0518363	0.045569375	0.03274635	0.040359538	0.03645524
a31	0.07274594	0.09522419	0.07777752	0.08264009	0.11014005	0.14444683	0.13003443	0.08112765	0.054445826	0.03567919	0.027970672	0.029186837	0.027354332	0.031226425
