 	che	vende	buon	pane	</S>
a17	0.16206615	0.2344201	0.22212121	0.19681628	0.1845762
a31	0.27667555	0.22559027	0.17429647	0.14402626	0.17941138
a11	0.35714832	0.24861662	0.17605191	0.11200138	0.106181726
a39	0.29389518	0.21721491	0.159568	0.12883338	0.20048855
a35	0.2987459	0.15256844	0.11521949	0.16480657	0.26865962
a39	0.267964	0.14821991	0.11014523	0.17088214	0.30278876
a31	0.36108157	0.16625458	0.114221565	0.13154802	0.2268943
a24	0.25751457	0.165943	0.12683822	0.17891696	0.2707873
a18	0.31487918	0.19369386	0.120196395	0.13052805	0.24070251
a31	0.32133543	0.1686081	0.09522292	0.12582023	0.28901333
a13	0.30244792	0.19358626	0.12552893	0.16667394	0.21176293
a31	0.3224739	0.2855654	0.13006768	0.084746726	0.17714624
a46	0.37386155	0.22128461	0.14945409	0.09257362	0.16282617
a8	0.30336264	0.34509754	0.17818901	0.085700326	0.087650485
</S>	0.2769688	0.34163815	0.19818066	0.095808305	0.087404124
