 	non	aveva	da	stare	</S>
a37	0.14982268	0.1560557	0.24524239	0.22267304	0.2262062
a38	0.30927247	0.234483	0.21603307	0.12569545	0.11451603
a24	0.38501346	0.22644961	0.13535987	0.10927342	0.14390363
a8	0.39568695	0.24280836	0.1681242	0.092757456	0.10062303
a17	0.35819215	0.21414524	0.1376789	0.13472779	0.1552559
a31	0.3793441	0.25105944	0.18038432	0.09677724	0.09243485
a20	0.39117762	0.24897721	0.1623338	0.11480934	0.08270206
a8	0.375516	0.26324204	0.16416332	0.08764442	0.10943433
a31	0.3038784	0.23868324	0.20696248	0.11165084	0.13882506
a20	0.3434616	0.260824	0.16629995	0.115955345	0.11345906
a31	0.3209435	0.2671934	0.21970013	0.07636907	0.11579389
a8	0.37339783	0.24974836	0.155101	0.086865425	0.13488734
a31	0.26029202	0.23870638	0.266613	0.1364959	0.09789263
</S>	0.3541306	0.28746203	0.19815324	0.07609434	0.08415978
