 	che	non	li	aspetiamo	</S>
a20	0.1524039	0.15707467	0.13287374	0.33837363	0.219274
a8	0.109787904	0.107337706	0.0780328	0.44441712	0.26042444
a7	0.107818134	0.10766398	0.08495829	0.49464837	0.2049112
a35	0.10733767	0.10349395	0.08012037	0.51704043	0.19200759
a46	0.11882624	0.1067466	0.0767278	0.4725544	0.22514495
a31	0.13983452	0.11677524	0.07800375	0.40276065	0.26262584
a11	0.15009494	0.13161908	0.16673696	0.3356837	0.21586528
a31	0.15262502	0.12494207	0.0818624	0.32509175	0.31547877
a0	0.16040741	0.1356199	0.1350382	0.2931188	0.2758157
a31	0.18718162	0.14617045	0.10557829	0.3256158	0.23545383
a30	0.21302557	0.18109056	0.11556725	0.2572537	0.23306291
a0	0.1472194	0.12723853	0.09384677	0.39991742	0.23177788
a31	0.17989363	0.1518649	0.10502878	0.3618545	0.20135826
</S>	0.2537305	0.21107191	0.12334486	0.2345512	0.17730151
