 	l	ho	sentito	quando	veniva	</S>
a31	0.10010765	0.06462578	0.091797635	0.26588672	0.2706241	0.20695813
a46	0.2011291	0.12766837	0.14256942	0.18639053	0.148873	0.19336957
a41	0.06785072	0.045169093	0.14497018	0.27637258	0.23247446	0.23316298
a31	0.0883594	0.06128096	0.14982603	0.24772012	0.23169515	0.22111838
a24	0.2021916	0.16794035	0.15276131	0.1757852	0.15023254	0.15108897
a31	0.08566629	0.059214044	0.14021331	0.19263178	0.20303422	0.31924033
a15	0.15530403	0.1405425	0.20913985	0.17702764	0.1637229	0.15426308
a46	0.13964325	0.09616622	0.123659335	0.168353	0.1737388	0.2984394
a31	0.11057226	0.08439142	0.10498924	0.21111135	0.21221429	0.2767214
a0	0.1740189	0.11469662	0.10472292	0.21741928	0.18651608	0.20262617
a41	0.12877618	0.09457929	0.10527398	0.20578185	0.21845536	0.24713342
</S>	0.12338104	0.09079201	0.09098693	0.21494749	0.2144721	0.2654204
