 	ho	cosa	a	fare	</S>
a23	0.21403861	0.21343479	0.19669306	0.20716171	0.16867189
a17	0.27915534	0.21798018	0.12555236	0.17116404	0.20614815
a31	0.25459838	0.16642013	0.15035312	0.19750978	0.23111865
a8	0.3730177	0.23133902	0.18280154	0.13084942	0.081992246
a31	0.27007008	0.18729581	0.14699504	0.18630587	0.20933324
a13	0.35629034	0.21657619	0.16229582	0.17015187	0.09468575
a24	0.32612073	0.21270531	0.14073884	0.16045627	0.15997884
a31	0.32599282	0.20957817	0.1313277	0.14212248	0.19097877
a13	0.33891305	0.16748247	0.16106491	0.16930461	0.1632349
a31	0.33622378	0.20942256	0.13748796	0.14492121	0.17194451
a18	0.39318612	0.18319517	0.11450072	0.13411932	0.17499861
a0	0.34242263	0.24094783	0.150584	0.15723889	0.1088067
a39	0.3111525	0.27063644	0.14113158	0.1645933	0.11248616
</S>	0.31135002	0.28031686	0.12934208	0.17408365	0.104907416
