 	forse	sono	usciti	</S>
a23	0.31565094	0.24662998	0.20782082	0.22989826
a31	0.41242144	0.25080404	0.14832245	0.1884521
a23	0.45324454	0.19212756	0.1513421	0.20328581
a31	0.30889764	0.2907001	0.19329992	0.20710231
a10	0.34143236	0.23102717	0.186778	0.24076247
a37	0.25041503	0.23604187	0.23851095	0.27503213
a31	0.24133582	0.25370714	0.24355763	0.2613994
a37	0.28149474	0.21915343	0.21410884	0.285243
a31	0.25729796	0.23136564	0.20345087	0.30788556
a39	0.21281126	0.24148878	0.22885211	0.31684786
a31	0.41154003	0.26162806	0.16191484	0.16491705
</S>	0.27283198	0.31262138	0.1968803	0.21766633
