 	io	non	ho	niente	da	mangiare	</S>
a8	0.08329664	0.10843736	0.11966919	0.10032009	0.15319085	0.21552397	0.21956187
a31	0.06086506	0.054851145	0.045805387	0.098295175	0.15714274	0.30917415	0.2738663
a8	0.34947512	0.22696598	0.12559916	0.14052786	0.05404643	0.054144394	0.049241133
a20	0.07753219	0.05475376	0.030101173	0.113233745	0.17752779	0.28955913	0.25729224
a31	0.23439555	0.14106724	0.09127073	0.13376601	0.14277412	0.13691571	0.119810656
a14	0.27179727	0.18400602	0.105499566	0.19283181	0.083163574	0.08239832	0.080303475
a31	0.112246536	0.08684629	0.060359925	0.13698205	0.19409658	0.22272979	0.18673879
a13	0.19021662	0.15933436	0.0935139	0.18699121	0.11831088	0.13014363	0.121489435
a37	0.069363944	0.06305588	0.058378987	0.14072299	0.14619775	0.27602234	0.24625812
a10	0.12488409	0.09308551	0.06169774	0.13584128	0.20761709	0.20889294	0.16798136
a20	0.13459231	0.097525805	0.0594924	0.13358723	0.2194429	0.19764677	0.15771258
a7	0.13119356	0.096188374	0.058308143	0.12970603	0.22297724	0.20111784	0.16050884
a18	0.07782801	0.06635558	0.06211214	0.13195278	0.15437114	0.26818937	0.23919095
a44	0.09295158	0.09238969	0.07023042	0.124100946	0.12852733	0.26585245	0.22594756
</S>	0.12032919	0.1365567	0.09754022	0.084674455	0.14063913	0.22597997	0.19428034
